Instancja;Algorytm;Czas;Jednostka;Wynik
data6;BruteForce-drzewo;107;us;158
data9;BruteForce-nextpermu;6159;us;215
jakiesgowno;BruteForce-nextpermu;99;us;158
jakiesgowno;BruteForce-drzewo;512;us;158
jakiesgowno;BruteForce-drzewo;527;us;158
jakiesgowno;BruteForce-drzewo;547;us;158
jakiesgowno;BruteForce-drzewo;538;us;158
jakiesgowno;BruteForce-nextpermu;77;us;158
jakiesgowno;BruteForce-nextpermu;88;us;158
jakiesgowno;BruteForce-drzewo;547;us;158
jakiesgowno;BruteForce-drzewo;462;us;158
data6;BruteForce-nextpermu;10;us;158
jakiesgowno;Branch&Bound DF;0;ms;158
data10;BruteForce-nextpermu;64423;us;212
data12;Dynamiczne;9;ms;264
data14;Dynamiczne;53;ms;125
data14;Dynamiczne;51;ms;125
data16;Dynamiczne;246;ms;156
data18;Dynamiczne;1383;ms;187
gr21.tsp;Branch&Bound BF;390;ms;2758
gr21.tsp;Branch&Bound DF;1290;ms;2707
