Instancja;Czas;Jednostka;Wynik;0 wyspa;1 wyspa;2 wyspa;3 wyspa;4 wyspa;;;412;443;438;437;435;;;;bez memetycznego;;memetycz insert;;;;
ftv44.atsp;19217;ms;1760;1760;1760;1760;1760;1760;;;1;1;1;1;1;;;;1;;2;;;;
ftv44.atsp;19482;ms;1716;1716;1716;1716;1716;1716;;;1;1;1;1;1;;;;srednia;najlepszy;srednia;najlepszy;rozwiazanie;blad 1;blad 2
ftv44.atsp;19211;ms;1746;1746;1746;1746;1746;1746;;;1;1;1;1;1;;;ftv44.atsp;1791,72;1640;1663,98;1634;1613;1,67%;1,30%
ftv44.atsp;19131;ms;1701;1701;1701;1701;1701;1701;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19006;ms;1746;1746;1746;1746;1746;1746;;;1;1;1;1;1;;;ftv55.atsp;1791,72;1667;1676,2;1608;1608;3,67%;0,00%
ftv44.atsp;19583;ms;1701;1701;1701;1701;1701;1701;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;20224;ms;1701;1701;1701;1701;1701;1701;;;1;1;1;1;1;;;ft53.atsp;7452,64;7061;7304,32;7034;6905;2,26%;1,87%
ftv44.atsp;19915;ms;1716;1716;1716;1716;1716;1716;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19931;ms;1811;1811;1811;1811;1811;1811;;;1;1;1;1;1;;;ftv47.atsp;1903,8;1833;1822,76;1776;1776;3,21%;0,00%
ftv44.atsp;19334;ms;1761;1761;1761;1761;1761;1761;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19233;ms;1763;1763;1763;1763;1763;1763;;;1;1;1;1;1;;;ftv64.atsp;;;1869,1;1839;1839;;0,00%
ftv44.atsp;19409;ms;1761;1761;1761;1761;1761;1761;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19417;ms;1701;1701;1701;1701;1701;1701;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19313;ms;1761;1761;1761;1761;1761;1761;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19282;ms;1717;1717;1717;1717;1717;1717;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19161;ms;1746;1746;1746;1746;1746;1746;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19343;ms;1701;1701;1701;1701;1701;1701;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19490;ms;1804;1804;1804;1804;1804;1804;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19337;ms;1811;1811;1811;1811;1811;1811;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19309;ms;1723;1723;1723;1723;1723;1723;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19384;ms;1730;1730;1730;1730;1730;1730;;;1;1;1;1;1;;;;;;;;;;
