Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas;;Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas;;Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas;;Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas
ftv33.atsp;1000;0.001;1000;0.8;0;1;62000;1302;0.153805;;ftv35.atsp;1000;0.01;1000;0.86;0;1;77000;1548;0.186976;;ry48p.atsp;100;0.01;1000;0.94;0;1;149000;14429;0.372711;;ft53.atsp;100;0.001;1000;0.92;0;1;139000;7094;0.34343
ftv33.atsp;1000;0.001;1000;0.94;0;1;224000;1302;0.548861;;ftv35.atsp;1000;0.01;1000;0.96;0;1;283000;1548;0.692596;;ry48p.atsp;100;0.01;1000;0.9;0;1;88000;14459;0.213845;;ft53.atsp;100;0.001;1000;0.999;0;1;11508000;7102;28.5505
ftv33.atsp;1000;0.001;1000;0.8;0;1;62000;1302;0.151873;;ftv35.atsp;1000;0.01;1000;0.98;0;1;570000;1548;1.39206;;ry48p.atsp;100;0.01;1000;0.82;0;1;47000;14495;0.120734;;ft53.atsp;100;0.001;1000;0.96;0;1;283000;7171;0.69438
ftv33.atsp;1000;0.001;1000;0.84;0;1;80000;1302;0.201787;;ftv35.atsp;1000;0.01;1000;0.8;0;1;52000;1548;0.12612;;ry48p.atsp;100;0.01;1000;0.94;0;1;149000;14507;0.371483;;ft53.atsp;100;0.001;1000;0.84;0;1;67000;7173;0.173085
ftv33.atsp;1000;0.001;1000;0.8;0;1;62000;1312;0.152008;;ftv35.atsp;1000;0.01;1000;0.86;0;1;77000;1548;0.188971;;ry48p.atsp;100;0.01;1000;0.98;0;1;456000;14553;1.12773;;ft53.atsp;100;0.001;1000;0.96;0;1;283000;7176;0.751874
ftv33.atsp;1000;0.001;1000;0.8;0;1;62000;1312;0.157646;;ftv35.atsp;1000;0.01;1000;0.98;0;1;570000;1548;1.43575;;ry48p.atsp;100;0.01;1000;0.9;0;1;88000;14556;0.217473;;ft53.atsp;100;0.001;1000;0.92;0;1;139000;7183;0.341129
ftv33.atsp;1000;0.001;1000;0.82;0;1;70000;1312;0.176283;;ftv35.atsp;1000;0.01;1000;0.999;0;1;11508000;1548;28.317;;ry48p.atsp;100;0.01;1000;0.84;0;1;53000;14563;0.135035;;ft53.atsp;100;0.001;1000;0.98;0;1;570000;7206;1.47415
ftv33.atsp;1000;0.001;1000;0.82;0;1;70000;1312;0.173306;;ftv35.atsp;1000;0.01;1000;0.999;0;1;11508000;1548;28.5098;;ry48p.atsp;100;0.01;1000;0.999;0;1;9206000;14568;23.3942;;ft53.atsp;100;0.001;1000;0.84;0;1;67000;7217;0.16624
ftv33.atsp;1000;0.001;1000;0.9;0;1;132000;1312;0.331465;;ftv35.atsp;1000;0.01;1000;0.999;0;1;11508000;1548;28.7761;;ry48p.atsp;100;0.01;1000;0.98;0;1;456000;14572;1.13102;;ft53.atsp;100;0.001;1000;0.94;0;1;187000;7221;0.460021
ftv33.atsp;1000;0.001;1000;0.92;0;1;166000;1312;0.408546;;ftv35.atsp;1000;0.01;1000;0.999;0;1;11508000;1548;28.3165;;ry48p.atsp;100;0.01;1000;0.96;0;1;226000;14576;0.565583;;ft53.atsp;100;0.001;1000;0.98;0;1;570000;7221;1.45104
ftv33.atsp;1000;0.001;1000;0.82;0;1;70000;1312;0.174649;;ftv35.atsp;1000;0.01;1000;0.999;0;1;11508000;1548;28.3396;;ry48p.atsp;100;0.01;1000;0.84;0;1;53000;14594;0.129776;;ft53.atsp;100;0.001;1000;0.86;0;1;77000;7229;0.18976
ftv33.atsp;1000;0.001;1000;0.84;0;1;80000;1312;0.200778;;ftv35.atsp;1000;0.01;1000;0.9;0;1;110000;1563;0.268767;;ry48p.atsp;100;0.01;1000;0.88;0;1;73000;14599;0.183387;;ft53.atsp;100;0.001;1000;0.94;0;1;187000;7230;0.457575
ftv33.atsp;1000;0.001;1000;0.84;0;1;80000;1312;0.197272;;ftv35.atsp;1000;0.01;1000;0.8;0;1;52000;1563;0.127196;;ry48p.atsp;100;0.01;1000;0.94;0;1;149000;14599;0.372611;;ft53.atsp;100;0.001;1000;0.999;0;1;11508000;7231;28.3583
ftv33.atsp;1000;0.001;1000;0.84;0;1;80000;1312;0.197174;;ftv35.atsp;1000;0.01;1000;0.86;0;1;77000;1563;0.195254;;ry48p.atsp;100;0.01;1000;0.94;0;1;149000;14602;0.369515;;ft53.atsp;100;0.001;1000;0.9;0;1;110000;7232;0.277554
ftv33.atsp;1000;0.001;1000;0.86;0;1;92000;1312;0.230085;;ftv35.atsp;1000;0.01;1000;0.88;0;1;91000;1563;0.233686;;ry48p.atsp;100;0.01;1000;0.96;0;1;226000;14608;0.554528;;ft53.atsp;100;0.001;1000;0.84;0;1;67000;7233;0.164322
