Instancja;Kadencja;Czas;Liczba iteracji;Intensyf;Rand;Czy RedRand?;Sasiedztwo;Optimum;;;;;;;;;;;
ftv170.atsp;120;5;5000;9;5;0;2;3319;;;;;;;;;;;
ftv170.atsp;120;5;5000;9;5;0;2;3319;;;;;sredni;min;max;opt;err;err;err
ftv170.atsp;120;5;5000;9;5;0;2;3319;;;;;3319;3319;3319;2755;20,47186933;20,47186933;20,47186933
ftv170.atsp;120;5;5000;9;5;0;2;3319;;;;;3319;3319;3319;2755;20,47186933;20,47186933;20,47186933
ftv170.atsp;120;5;5000;9;5;0;2;3319;;;;;3319;3319;3319;2755;20,47186933;20,47186933;20,47186933
ftv170.atsp;120;5;5000;9;5;0;2;3319;;;;;3319;3319;3319;2755;20,47186933;20,47186933;20,47186933
ftv170.atsp;120;5;5000;9;5;0;2;3319;;;;;3278;3278;3278;2755;18,98366606;18,98366606;18,98366606
ftv170.atsp;120;5;5000;9;5;0;2;3319;;;;;3278;3278;3278;2755;18,98366606;18,98366606;18,98366606
ftv170.atsp;120;5;5000;9;5;0;2;3319;;;;;;;;;;;
ftv170.atsp;120;5;5000;9;5;0;2;3319;;;;;;;;;;;
ftv170.atsp;120;5;5000;9;5;0;2;3319;;;;;;;;;;;
ftv170.atsp;120;5;5000;9;5;0;2;3319;;;;;;;;;;;
ftv170.atsp;120;5;5000;9;5;0;2;3319;;;;;;;;;;;
ftv170.atsp;120;5;5000;9;5;0;2;3319;;;;;;;;;;;
ftv170.atsp;120;5;5000;9;5;0;2;3319;;;;;;;;;;;
ftv170.atsp;120;5;5000;9;5;0;2;3319;;;;;;;;;;;
ftv170.atsp;120;5;5000;9;5;0;2;3319;;;;;;;;;;;
ftv170.atsp;120;5;5000;9;5;0;2;3319;;;;;;;;;;;
ftv170.atsp;120;5;5000;9;5;0;2;3319;;;;;;;;;;;
ftv170.atsp;120;5;5000;9;5;0;2;3319;3319;3319;3319;;;;;;;;
ftv170.atsp;120;10;5000;9;5;0;2;3319;;;;;;;;;;;
ftv170.atsp;120;10;5000;9;5;0;2;3319;;;;;;;;;;;
ftv170.atsp;120;10;5000;9;5;0;2;3319;;;;;;;;;;;
ftv170.atsp;120;10;5000;9;5;0;2;3319;;;;;;;;;;;
ftv170.atsp;120;10;5000;9;5;0;2;3319;;;;;;;;;;;
ftv170.atsp;120;10;5000;9;5;0;2;3319;;;;;;;;;;;
ftv170.atsp;120;10;5000;9;5;0;2;3319;;;;;;;;;;;
ftv170.atsp;120;10;5000;9;5;0;2;3319;;;;;;;;;;;
ftv170.atsp;120;10;5000;9;5;0;2;3319;;;;;;;;;;;
ftv170.atsp;120;10;5000;9;5;0;2;3319;;;;;;;;;;;
ftv170.atsp;120;10;5000;9;5;0;2;3319;;;;;;;;;;;
ftv170.atsp;120;10;5000;9;5;0;2;3319;;;;;;;;;;;
ftv170.atsp;120;10;5000;9;5;0;2;3319;;;;;;;;;;;
