Kadencja;Czas;Liczba iteracji;Intensyf;Rand;Czy RedRand?;Optimum;;;;;;;;;;;;;;KADENCJA;ITERACJE;INTEN;DIVID;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;NAJLEPSZE USTAWIENIA;;;18;5000;1;8;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;KADENCJA;;;;;;;;;;ITERACJE;;;;INTENSYFIKACJA;;;;;;;;DIVIDER RAND;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;1344,836806;1335,805556;1319,777003;1306,282686;1299,229682;LICZBA OPTIMÓW;;;;;1318,443357;1324,193277;;;1320,109551;1320,765363;1323,131653;1321,256983;;;;;1320,968421;1320,150943;1322,828092;;;
;;;;;;;;288;288;288;288;288;;;;;;720;720;;;360;360;360;360;;;;;480;480;480;;;
;;;;;;;;0;;1;5;5;;;;;;5;6;;;4;2;3;2;;;;;5;3;3;;;
;;;;;;;;387313;384712;378776;369678;367682;0;5;38;95;137;942687;945474;156;119;469959;472834;472358;473010;64;72;67;72;627460;629712;630989;80;101;94
;;;;;;;;10;12;14;16;18;10;12;14;16;18;5000;10000;5000;10000;1;2;3;4;1;2;3;4;6;8;10;6;8;10
12;30;5000;2;6;0;1286;;0;1286;0;0;0;0;1;0;0;0;1286;0;1;0;0;1286;0;0;0;1;0;0;1286;0;0;1;0;0
12;30;5000;2;10;0;1286;;0;1286;0;0;0;0;1;0;0;0;1286;0;1;0;0;1286;0;0;0;1;0;0;0;0;1286;0;0;1
12;30;5000;3;10;0;1286;;0;1286;0;0;0;0;1;0;0;0;1286;0;1;0;0;0;1286;0;0;0;1;0;0;0;1286;0;0;1
12;30;5000;4;6;1;1286;;0;1286;0;0;0;0;1;0;0;0;1286;0;1;0;0;0;0;1286;0;0;0;1;1286;0;0;1;0;0
12;30;5000;4;8;0;1286;;0;1286;0;0;0;0;1;0;0;0;1286;0;1;0;0;0;0;1286;0;0;0;1;0;1286;0;0;1;0
14;30;5000;1;6;1;1286;;0;0;1286;0;0;0;0;1;0;0;1286;0;1;0;1286;0;0;0;1;0;0;0;1286;0;0;1;0;0
14;30;5000;1;6;0;1286;;0;0;1286;0;0;0;0;1;0;0;1286;0;1;0;1286;0;0;0;1;0;0;0;1286;0;0;1;0;0
14;30;5000;1;6;0;1286;;0;0;1286;0;0;0;0;1;0;0;1286;0;1;0;1286;0;0;0;1;0;0;0;1286;0;0;1;0;0
14;30;5000;1;8;1;1286;;0;0;1286;0;0;0;0;1;0;0;1286;0;1;0;1286;0;0;0;1;0;0;0;0;1286;0;0;1;0
14;30;5000;1;8;0;1286;;0;0;1286;0;0;0;0;1;0;0;1286;0;1;0;1286;0;0;0;1;0;0;0;0;1286;0;0;1;0
14;30;5000;1;8;0;1286;;0;0;1286;0;0;0;0;1;0;0;1286;0;1;0;1286;0;0;0;1;0;0;0;0;1286;0;0;1;0
14;30;5000;1;10;0;1286;;0;0;1286;0;0;0;0;1;0;0;1286;0;1;0;1286;0;0;0;1;0;0;0;0;0;1286;0;0;1
14;30;5000;2;6;0;1286;;0;0;1286;0;0;0;0;1;0;0;1286;0;1;0;0;1286;0;0;0;1;0;0;1286;0;0;1;0;0
14;30;5000;2;8;0;1286;;0;0;1286;0;0;0;0;1;0;0;1286;0;1;0;0;1286;0;0;0;1;0;0;0;1286;0;0;1;0
14;30;5000;2;8;0;1286;;0;0;1286;0;0;0;0;1;0;0;1286;0;1;0;0;1286;0;0;0;1;0;0;0;1286;0;0;1;0
14;30;5000;2;8;0;1286;;0;0;1286;0;0;0;0;1;0;0;1286;0;1;0;0;1286;0;0;0;1;0;0;0;1286;0;0;1;0
14;30;5000;2;10;1;1286;;0;0;1286;0;0;0;0;1;0;0;1286;0;1;0;0;1286;0;0;0;1;0;0;0;0;1286;0;0;1
14;30;5000;2;10;0;1286;;0;0;1286;0;0;0;0;1;0;0;1286;0;1;0;0;1286;0;0;0;1;0;0;0;0;1286;0;0;1
14;30;5000;2;10;0;1286;;0;0;1286;0;0;0;0;1;0;0;1286;0;1;0;0;1286;0;0;0;1;0;0;0;0;1286;0;0;1
14;30;5000;3;6;0;1286;;0;0;1286;0;0;0;0;1;0;0;1286;0;1;0;0;0;1286;0;0;0;1;0;1286;0;0;1;0;0
14;30;5000;3;6;0;1286;;0;0;1286;0;0;0;0;1;0;0;1286;0;1;0;0;0;1286;0;0;0;1;0;1286;0;0;1;0;0
14;30;5000;3;8;1;1286;;0;0;1286;0;0;0;0;1;0;0;1286;0;1;0;0;0;1286;0;0;0;1;0;0;1286;0;0;1;0
14;30;5000;3;8;0;1286;;0;0;1286;0;0;0;0;1;0;0;1286;0;1;0;0;0;1286;0;0;0;1;0;0;1286;0;0;1;0
14;30;5000;3;10;0;1286;;0;0;1286;0;0;0;0;1;0;0;1286;0;1;0;0;0;1286;0;0;0;1;0;0;0;1286;0;0;1
14;30;5000;4;6;0;1286;;0;0;1286;0;0;0;0;1;0;0;1286;0;1;0;0;0;0;1286;0;0;0;1;1286;0;0;1;0;0
14;30;5000;4;8;1;1286;;0;0;1286;0;0;0;0;1;0;0;1286;0;1;0;0;0;0;1286;0;0;0;1;0;1286;0;0;1;0
14;30;5000;4;8;0;1286;;0;0;1286;0;0;0;0;1;0;0;1286;0;1;0;0;0;0;1286;0;0;0;1;0;1286;0;0;1;0
14;30;5000;4;8;0;1286;;0;0;1286;0;0;0;0;1;0;0;1286;0;1;0;0;0;0;1286;0;0;0;1;0;1286;0;0;1;0
14;30;5000;4;8;0;1286;;0;0;1286;0;0;0;0;1;0;0;1286;0;1;0;0;0;0;1286;0;0;0;1;0;1286;0;0;1;0
14;30;5000;4;10;1;1286;;0;0;1286;0;0;0;0;1;0;0;1286;0;1;0;0;0;0;1286;0;0;0;1;0;0;1286;0;0;1
14;30;5000;4;10;0;1286;;0;0;1286;0;0;0;0;1;0;0;1286;0;1;0;0;0;0;1286;0;0;0;1;0;0;1286;0;0;1
14;30;5000;4;10;0;1286;;0;0;1286;0;0;0;0;1;0;0;1286;0;1;0;0;0;0;1286;0;0;0;1;0;0;1286;0;0;1
14;30;10000;1;6;0;1286;;0;0;1286;0;0;0;0;1;0;0;0;1286;0;1;1286;0;0;0;1;0;0;0;1286;0;0;1;0;0
14;30;10000;1;8;1;1286;;0;0;1286;0;0;0;0;1;0;0;0;1286;0;1;1286;0;0;0;1;0;0;0;0;1286;0;0;1;0
14;30;10000;2;8;1;1286;;0;0;1286;0;0;0;0;1;0;0;0;1286;0;1;0;1286;0;0;0;1;0;0;0;1286;0;0;1;0
14;30;10000;2;8;1;1286;;0;0;1286;0;0;0;0;1;0;0;0;1286;0;1;0;1286;0;0;0;1;0;0;0;1286;0;0;1;0
14;30;10000;2;8;0;1286;;0;0;1286;0;0;0;0;1;0;0;0;1286;0;1;0;1286;0;0;0;1;0;0;0;1286;0;0;1;0
14;30;10000;2;8;0;1286;;0;0;1286;0;0;0;0;1;0;0;0;1286;0;1;0;1286;0;0;0;1;0;0;0;1286;0;0;1;0
14;30;10000;2;10;0;1286;;0;0;1286;0;0;0;0;1;0;0;0;1286;0;1;0;1286;0;0;0;1;0;0;0;0;1286;0;0;1
14;30;10000;3;6;0;1286;;0;0;1286;0;0;0;0;1;0;0;0;1286;0;1;0;0;1286;0;0;0;1;0;1286;0;0;1;0;0
14;30;10000;3;10;0;1286;;0;0;1286;0;0;0;0;1;0;0;0;1286;0;1;0;0;1286;0;0;0;1;0;0;0;1286;0;0;1
14;30;10000;3;10;0;1286;;0;0;1286;0;0;0;0;1;0;0;0;1286;0;1;0;0;1286;0;0;0;1;0;0;0;1286;0;0;1
14;30;10000;4;10;0;1286;;0;0;1286;0;0;0;0;1;0;0;0;1286;0;1;0;0;0;1286;0;0;0;1;0;0;1286;0;0;1
16;30;5000;1;6;0;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;1286;0;0;0;1;0;0;0;1286;0;0;1;0;0
16;30;5000;1;6;0;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;1286;0;0;0;1;0;0;0;1286;0;0;1;0;0
16;30;5000;1;8;0;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;1286;0;0;0;1;0;0;0;0;1286;0;0;1;0
16;30;5000;1;10;0;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;1286;0;0;0;1;0;0;0;0;0;1286;0;0;1
16;30;5000;2;6;0;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;1286;0;0;0;1;0;0;1286;0;0;1;0;0
16;30;5000;2;6;0;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;1286;0;0;0;1;0;0;1286;0;0;1;0;0
16;30;5000;2;6;0;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;1286;0;0;0;1;0;0;1286;0;0;1;0;0
16;30;5000;2;6;0;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;1286;0;0;0;1;0;0;1286;0;0;1;0;0
16;30;5000;2;6;0;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;1286;0;0;0;1;0;0;1286;0;0;1;0;0
16;30;5000;2;8;0;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;1286;0;0;0;1;0;0;0;1286;0;0;1;0
16;30;5000;2;8;0;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;1286;0;0;0;1;0;0;0;1286;0;0;1;0
16;30;5000;2;8;0;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;1286;0;0;0;1;0;0;0;1286;0;0;1;0
16;30;5000;2;8;0;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;1286;0;0;0;1;0;0;0;1286;0;0;1;0
16;30;5000;2;10;1;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;1286;0;0;0;1;0;0;0;0;1286;0;0;1
16;30;5000;2;10;0;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;1286;0;0;0;1;0;0;0;0;1286;0;0;1
16;30;5000;2;10;0;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;1286;0;0;0;1;0;0;0;0;1286;0;0;1
16;30;5000;2;10;0;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;1286;0;0;0;1;0;0;0;0;1286;0;0;1
16;30;5000;2;10;0;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;1286;0;0;0;1;0;0;0;0;1286;0;0;1
16;30;5000;2;10;0;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;1286;0;0;0;1;0;0;0;0;1286;0;0;1
16;30;5000;2;10;0;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;1286;0;0;0;1;0;0;0;0;1286;0;0;1
16;30;5000;3;6;1;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;0;1286;0;0;0;1;0;1286;0;0;1;0;0
16;30;5000;3;6;0;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;0;1286;0;0;0;1;0;1286;0;0;1;0;0
16;30;5000;3;6;0;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;0;1286;0;0;0;1;0;1286;0;0;1;0;0
16;30;5000;3;6;0;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;0;1286;0;0;0;1;0;1286;0;0;1;0;0
16;30;5000;3;6;0;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;0;1286;0;0;0;1;0;1286;0;0;1;0;0
