Kadencja;Czas;Liczba iteracji;Intensyf;Rand;Czy RedRand?;Optimum
16;45;5000;1;9;1;1273
16;45;5000;1;15;1;1273
16;45;5000;3;9;1;1273
16;45;5000;4;12;1;1273
19;45;5000;1;9;1;1273
19;45;5000;2;9;1;1273
19;45;5000;4;12;1;1273
22;45;5000;1;9;1;1273
22;45;5000;1;12;1;1273
22;45;5000;1;15;1;1273
22;45;5000;2;9;1;1273
22;45;5000;2;15;1;1273
22;45;5000;3;15;1;1273
22;45;5000;3;15;1;1273
22;45;5000;4;9;1;1273
22;45;5000;4;9;1;1273
22;45;5000;4;12;1;1273
25;45;5000;1;9;1;1273
25;45;5000;1;12;1;1273
25;45;5000;2;12;1;1273
25;45;5000;3;15;1;1273
25;45;5000;3;15;1;1273
25;45;5000;3;15;0;1273
25;45;5000;4;9;1;1273
25;45;5000;4;15;1;1273
25;45;5000;4;15;1;1273
19;45;5000;1;15;1;1284
19;45;5000;2;9;0;1284
19;45;5000;2;15;1;1284
19;45;5000;3;12;1;1284
22;45;5000;1;15;1;1284
22;45;5000;2;9;1;1284
22;45;5000;2;9;0;1284
22;45;5000;2;12;1;1284
22;45;5000;3;9;1;1284
22;45;5000;4;15;1;1284
22;45;5000;4;15;1;1284
25;45;5000;1;15;1;1284
25;45;5000;2;9;1;1284
25;45;5000;2;12;1;1284
25;45;5000;2;15;1;1284
25;45;5000;3;12;1;1284
25;45;5000;3;12;0;1284
25;45;5000;4;9;1;1284
25;45;5000;4;12;1;1284
25;45;5000;4;12;1;1284
25;45;5000;1;9;1;1296
19;45;5000;2;9;0;1300
16;45;5000;1;9;0;1301
16;45;5000;1;12;0;1301
16;45;5000;2;15;0;1301
16;45;5000;4;9;0;1301
19;45;5000;1;12;0;1301
19;45;5000;1;15;0;1301
19;45;5000;1;15;0;1301
19;45;5000;3;9;0;1301
19;45;5000;4;9;0;1301
19;45;5000;4;12;0;1301
19;45;5000;4;15;0;1301
22;45;5000;1;12;0;1301
22;45;5000;1;15;0;1301
22;45;5000;2;15;0;1301
22;45;5000;4;9;0;1301
25;45;5000;1;12;0;1301
25;45;5000;2;9;0;1301
25;45;5000;2;15;0;1301
25;45;5000;3;9;0;1301
25;45;5000;4;12;0;1301
25;45;5000;3;9;1;1302
16;45;5000;2;12;1;1303
19;45;5000;3;9;1;1303
22;45;5000;1;9;0;1303
22;45;5000;1;15;0;1303
25;45;5000;1;9;0;1303
25;45;5000;1;12;1;1303
25;45;5000;1;15;0;1303
16;45;5000;2;12;0;1304
22;45;5000;1;9;1;1304
22;45;5000;2;15;1;1304
25;45;5000;2;9;0;1304
25;45;5000;2;12;0;1304
25;45;5000;3;12;1;1304
22;45;5000;2;12;1;1305
22;45;5000;3;9;0;1305
25;45;5000;3;15;0;1305
19;45;5000;3;9;1;1307
16;45;5000;3;12;0;1310
16;45;5000;4;9;0;1310
19;45;5000;3;15;1;1310
19;45;5000;4;9;0;1310
19;45;5000;4;15;1;1310
22;45;5000;2;12;0;1310
22;45;5000;3;12;0;1310
25;45;5000;1;12;0;1310
25;45;5000;1;15;1;1310
25;45;5000;3;9;1;1310
19;45;5000;4;15;1;1311
22;45;5000;4;12;0;1311
22;45;5000;4;12;0;1311
25;45;5000;1;15;0;1311
25;45;5000;2;12;0;1311
25;45;5000;4;15;0;1311
16;45;5000;1;12;0;1314
16;45;5000;1;15;0;1314
16;45;5000;4;9;1;1314
19;45;5000;3;12;1;1314
22;45;5000;3;12;1;1314
25;45;5000;2;15;0;1314
25;45;5000;4;9;0;1314
25;45;5000;4;15;0;1314
22;45;5000;3;9;0;1315
25;45;5000;3;9;0;1315
16;45;5000;3;12;0;1316
19;45;5000;2;12;0;1316
19;45;5000;4;9;1;1316
22;45;5000;4;15;0;1316
22;45;5000;1;12;1;1317
22;45;5000;1;12;0;1317
22;45;5000;4;15;0;1317
19;45;5000;1;12;1;1318
22;45;5000;3;9;1;1318
22;45;5000;4;12;1;1318
16;45;5000;4;15;1;1319
22;45;5000;3;12;0;1319
25;45;5000;1;9;0;1322
25;45;5000;4;9;0;1322
16;45;5000;3;15;0;1324
25;45;5000;2;9;1;1324
16;45;5000;1;9;1;1325
16;45;5000;2;9;1;1325
16;45;5000;4;12;0;1325
16;45;5000;4;15;0;1325
19;45;5000;1;9;0;1325
19;45;5000;1;12;0;1325
19;45;5000;1;15;1;1325
19;45;5000;3;9;0;1325
19;45;5000;3;15;0;1325
22;45;5000;1;9;0;1325
22;45;5000;3;12;1;1325
25;45;5000;4;12;0;1325
19;45;5000;1;12;1;1326
22;45;5000;4;9;0;1326
16;45;5000;1;12;1;1327
25;45;5000;3;12;0;1327
