Kadencja;Czas;Liczba iteracji;Intensyf;Rand;Czy RedRand?;Sasiedztwo;Optimum
45;30;5000;4;2;1;2;1875
55;30;5000;6;2;1;2;1875
55;30;5000;8;2;1;2;1878
55;30;5000;8;2;1;2;1890
55;30;5000;8;2;1;2;1891
55;30;5000;8;2;1;2;1891
55;60;5000;4;2;1;2;1893
55;30;5000;4;2;1;2;1893
55;30;5000;8;2;1;2;1893
45;60;5000;4;2;1;2;1894
55;60;5000;4;2;1;2;1894
45;60;5000;4;2;1;2;1899
55;30;5000;6;2;1;2;1899
55;30;5000;8;2;1;2;1899
45;60;5000;4;2;1;2;1900
45;30;5000;4;3;1;2;1901
55;60;5000;4;2;1;2;1901
55;30;5000;6;2;1;2;1901
55;30;5000;8;2;1;2;1901
55;60;5000;4;2;1;2;1903
55;30;5000;4;2;1;2;1903
55;60;5000;4;2;1;2;1911
45;10;5000;4;1;1;2;1919
55;30;5000;4;2;1;2;1919
55;30;5000;4;2;1;2;1919
55;30;5000;6;2;1;2;1919
55;30;5000;6;2;1;2;1919
55;30;5000;8;2;1;2;1919
55;30;5000;8;2;1;2;1919
55;30;5000;4;2;1;2;1920
55;30;5000;4;2;1;2;1921
55;30;5000;4;2;1;2;1921
55;30;5000;4;2;1;2;1921
55;30;5000;6;2;1;2;1921
55;30;5000;6;2;1;2;1921
55;30;5000;6;2;1;2;1921
45;30;5000;4;2;1;2;1925
45;60;5000;4;2;1;2;1926
55;30;5000;4;2;1;2;1926
45;10;5000;4;2;1;2;1927
45;30;5000;4;1;1;2;1927
45;30;5000;4;1;1;2;1927
45;30;5000;4;2;1;2;1927
45;30;5000;4;3;1;2;1927
45;30;5000;4;4;1;2;1927
45;30;5000;4;4;1;2;1927
45;60;5000;4;2;1;2;1927
55;30;5000;6;2;1;2;1927
55;30;5000;8;2;1;2;1927
35;3;5000;4;2;1;2;1934
35;10;5000;4;2;1;2;1934
35;10;5000;4;1;1;2;1936
45;10;5000;4;1;1;2;1936
35;3;5000;4;1;1;2;1937
35;3;5000;4;1;1;2;1937
35;3;5000;4;1;1;2;1937
35;3;5000;4;1;0;2;1937
35;3;5000;4;1;0;2;1937
35;3;5000;4;1;0;2;1937
35;3;5000;4;2;1;2;1937
35;3;5000;4;2;1;2;1937
35;3;5000;4;2;0;2;1937
35;3;5000;4;2;0;2;1937
35;3;5000;4;2;0;2;1937
45;3;5000;4;1;1;2;1937
45;3;5000;4;1;1;2;1937
45;3;5000;4;1;1;2;1937
45;3;5000;4;1;0;2;1937
45;3;5000;4;1;0;2;1937
45;3;5000;4;1;0;2;1937
45;3;5000;4;2;1;2;1937
45;3;5000;4;2;1;2;1937
45;3;5000;4;2;1;2;1937
45;3;5000;4;2;0;2;1937
45;3;5000;4;2;0;2;1937
45;3;5000;4;2;0;2;1937
35;10;5000;4;1;1;2;1937
35;10;5000;4;1;1;2;1937
35;10;5000;4;1;0;2;1937
35;10;5000;4;1;0;2;1937
35;10;5000;4;1;0;2;1937
35;10;5000;4;2;1;2;1937
35;10;5000;4;2;1;2;1937
35;10;5000;4;2;0;2;1937
35;10;5000;4;2;0;2;1937
35;10;5000;4;2;0;2;1937
45;10;5000;4;1;1;2;1937
45;10;5000;4;1;0;2;1937
45;10;5000;4;1;0;2;1937
45;10;5000;4;1;0;2;1937
45;10;5000;4;2;1;2;1937
45;10;5000;4;2;1;2;1937
45;10;5000;4;2;0;2;1937
45;10;5000;4;2;0;2;1937
45;10;5000;4;2;0;2;1937
45;30;5000;4;1;1;2;1937
45;30;5000;4;1;0;2;1937
45;30;5000;4;1;0;2;1937
45;30;5000;4;1;0;2;1937
45;30;5000;4;3;1;2;1937
55;30;5000;4;2;1;2;1937
55;30;5000;6;2;1;2;1937
45;3;5000;4;1;1;1;1953
35;3;5000;4;1;1;1;1985
45;3;5000;4;1;1;1;1987
45;3;5000;4;1;1;1;1987
45;3;5000;4;1;0;1;1987
45;3;5000;4;1;0;1;1987
45;3;5000;4;1;0;1;1987
45;3;5000;4;2;1;1;1987
45;3;5000;4;2;1;1;1987
45;3;5000;4;2;1;1;1987
45;3;5000;4;2;0;1;1987
45;3;5000;4;2;0;1;1987
45;3;5000;4;2;0;1;1987
35;3;5000;4;2;0;1;2033
35;3;5000;4;1;1;1;2047
35;3;5000;4;1;0;1;2055
35;3;5000;4;1;0;1;2080
35;3;5000;4;2;1;1;2083
35;3;5000;4;2;1;1;2086
35;3;5000;4;2;1;1;2101
35;3;5000;4;1;1;1;2103
35;3;5000;4;1;0;1;2113
35;3;5000;4;2;0;1;2117
35;3;5000;4;2;0;1;2120
35;3;5000;4;1;1;0;2138
45;3;5000;4;1;1;0;2142
45;3;5000;4;1;1;0;2167
35;3;5000;4;1;1;0;2197
35;3;5000;4;1;1;0;2197
35;3;5000;4;1;0;0;2197
35;3;5000;4;1;0;0;2197
35;3;5000;4;1;0;0;2197
35;3;5000;4;2;1;0;2197
35;3;5000;4;2;1;0;2197
35;3;5000;4;2;1;0;2197
35;3;5000;4;2;0;0;2197
35;3;5000;4;2;0;0;2197
35;3;5000;4;2;0;0;2197
45;3;5000;4;1;1;0;2197
45;3;5000;4;1;0;0;2197
45;3;5000;4;1;0;0;2197
45;3;5000;4;1;0;0;2197
45;3;5000;4;2;1;0;2197
45;3;5000;4;2;1;0;2197
45;3;5000;4;2;1;0;2197
45;3;5000;4;2;0;0;2197
45;3;5000;4;2;0;0;2197
45;3;5000;4;2;0;0;2197
