Kadencja;Czas;Liczba iteracji;Intensyf;Rand;Czy RedRand?;Sasiedztwo;Optimum
33;240;5000;4;1;1;1;1776
33;240;5000;4;2;0;1;1776
30;120;5000;4;2;1;1;1777
30;240;5000;4;2;0;1;1777
33;240;5000;4;2;1;1;1777
30;240;5000;4;1;1;1;1784
30;120;5000;4;1;0;1;1787
27;120;5000;4;2;1;1;1787
27;120;5000;4;1;0;1;1788
30;120;5000;4;2;0;1;1788
33;120;5000;4;1;0;1;1788
27;240;5000;4;2;0;1;1788
33;240;5000;4;1;0;1;1788
33;240;5000;4;1;0;1;1788
27;120;5000;4;2;1;1;1790
27;240;5000;4;2;0;1;1790
30;240;5000;4;2;1;1;1790
30;240;5000;4;2;0;1;1790
33;240;5000;4;2;0;1;1790
33;240;5000;4;2;0;1;1790
33;240;5000;4;2;1;1;1791
27;120;5000;4;1;1;1;1792
33;240;5000;4;2;1;1;1792
27;120;5000;4;2;0;1;1794
30;120;5000;4;1;0;1;1794
30;120;5000;4;2;0;1;1794
27;120;5000;4;1;0;1;1794
30;240;5000;4;1;0;1;1794
33;120;5000;4;2;1;1;1795
27;240;5000;4;1;0;1;1795
27;240;5000;4;2;1;1;1795
27;240;5000;4;2;0;1;1795
27;240;5000;4;2;0;1;1795
27;240;5000;4;2;0;1;1795
33;120;5000;4;2;0;1;1796
27;240;5000;4;2;1;1;1796
33;240;5000;4;2;1;1;1796
33;240;5000;4;1;1;1;1797
27;120;5000;4;2;1;1;1798
33;120;5000;4;2;0;1;1798
33;120;5000;4;2;1;1;1799
27;120;5000;4;1;0;1;1799
27;240;5000;4;2;0;1;1799
30;240;5000;4;1;0;1;1799
33;240;5000;4;1;0;1;1799
27;120;5000;4;2;1;1;1800
27;240;5000;4;2;1;1;1800
30;240;5000;4;2;1;1;1800
30;240;5000;4;2;1;1;1800
30;240;5000;4;2;1;1;1800
33;240;5000;4;1;1;1;1800
30;120;5000;4;2;0;1;1801
33;120;5000;4;2;0;1;1801
27;240;5000;4;2;0;1;1801
30;120;5000;4;1;0;1;1802
30;240;5000;4;1;0;1;1802
30;240;5000;4;2;0;1;1802
30;120;5000;4;2;1;1;1803
27;120;5000;4;2;1;1;1803
27;240;5000;4;1;0;1;1803
27;120;5000;4;2;1;1;1804
27;120;5000;4;2;1;1;1804
30;120;5000;4;1;1;1;1804
30;120;5000;4;1;1;1;1804
33;120;5000;4;1;1;1;1804
33;120;5000;4;2;1;1;1804
27;120;5000;4;1;1;1;1804
27;240;5000;4;2;1;1;1804
27;240;5000;4;2;0;1;1804
30;240;5000;4;2;1;1;1804
33;240;5000;4;2;1;1;1804
33;240;5000;4;2;0;1;1804
30;120;5000;4;1;1;1;1805
30;120;5000;4;2;1;1;1805
33;120;5000;4;1;1;1;1805
33;120;5000;4;1;1;1;1805
27;240;5000;4;2;1;1;1805
27;240;5000;4;2;1;1;1805
30;240;5000;4;1;1;1;1805
30;240;5000;4;2;1;1;1805
30;240;5000;4;2;1;1;1805
33;240;5000;4;2;1;1;1805
33;240;5000;4;2;1;1;1805
33;120;5000;4;1;0;1;1806
30;240;5000;4;1;0;1;1806
33;240;5000;4;2;0;1;1806
27;120;5000;4;1;1;1;1807
27;120;5000;4;2;1;1;1807
27;120;5000;4;2;0;1;1807
33;120;5000;4;2;0;1;1807
30;240;5000;4;2;0;1;1807
30;240;5000;4;2;0;1;1807
33;240;5000;4;1;0;1;1807
33;240;5000;4;2;1;1;1807
27;120;5000;4;1;1;1;1808
30;120;5000;4;2;1;1;1808
33;120;5000;4;2;1;1;1808
33;120;5000;4;2;0;1;1808
27;120;5000;4;1;1;1;1808
27;240;5000;4;1;1;1;1808
27;240;5000;4;2;1;1;1808
30;240;5000;4;1;0;1;1808
33;240;5000;4;1;1;1;1808
33;120;5000;4;2;0;1;1809
27;120;5000;4;2;1;1;1809
27;240;5000;4;1;0;1;1809
30;240;5000;4;1;0;1;1809
30;240;5000;4;2;0;1;1809
33;240;5000;4;1;1;1;1809
33;240;5000;4;2;1;1;1809
30;120;5000;4;1;0;1;1810
30;120;5000;4;2;0;1;1810
27;120;5000;4;1;0;1;1810
30;120;5000;4;1;1;1;1811
30;120;5000;4;2;1;1;1811
30;120;5000;4;2;0;1;1811
27;240;5000;4;2;0;1;1811
30;240;5000;4;2;1;1;1811
27;120;5000;4;1;1;1;1812
30;120;5000;4;1;1;1;1812
33;120;5000;4;1;1;1;1812
33;120;5000;4;1;0;1;1812
27;240;5000;4;1;1;1;1812
30;240;5000;4;1;1;1;1812
30;240;5000;4;1;1;1;1812
27;120;5000;4;1;1;1;1813
30;120;5000;4;1;1;1;1813
33;120;5000;4;1;1;1;1813
27;240;5000;4;1;1;1;1813
27;240;5000;4;1;1;1;1813
30;240;5000;4;1;1;1;1813
27;120;5000;4;1;0;1;1814
30;120;5000;4;2;0;1;1814
33;120;5000;4;2;1;1;1814
27;240;5000;4;2;1;1;1814
30;240;5000;4;2;1;1;1814
33;120;5000;4;1;1;1;1815
30;240;5000;4;1;1;1;1815
27;120;5000;4;1;0;1;1816
27;120;5000;4;1;0;1;1816
27;120;5000;4;2;0;1;1816
30;120;5000;4;1;1;1;1816
30;120;5000;4;1;0;1;1816
30;120;5000;4;2;0;1;1816
33;120;5000;4;2;0;1;1816
27;120;5000;4;1;1;1;1816
27;240;5000;4;1;1;1;1816
27;240;5000;4;1;0;1;1816
27;240;5000;4;1;0;1;1816
27;240;5000;4;1;0;1;1816
30;240;5000;4;1;0;1;1816
30;240;5000;4;2;0;1;1816
33;240;5000;4;1;0;1;1816
27;120;5000;4;1;1;1;1817
27;120;5000;4;1;1;1;1817
27;120;5000;4;2;1;1;1817
27;240;5000;4;2;1;1;1817
30;240;5000;4;1;1;1;1817
33;240;5000;4;1;0;1;1817
33;240;5000;4;2;1;1;1817
33;240;5000;4;2;0;1;1817
27;120;5000;4;2;0;1;1818
33;120;5000;4;2;1;1;1818
27;240;5000;4;1;1;1;1818
30;240;5000;4;1;0;1;1818
30;240;5000;4;2;1;1;1818
33;120;5000;4;2;1;1;1819
33;120;5000;4;1;0;1;1820
30;240;5000;4;1;0;1;1820
33;240;5000;4;2;0;1;1820
27;120;5000;4;1;1;1;1821
27;120;5000;4;1;1;1;1821
30;120;5000;4;1;1;1;1821
33;120;5000;4;1;1;1;1821
27;120;5000;4;1;1;1;1821
27;120;5000;4;1;1;1;1821
27;240;5000;4;1;1;1;1821
27;240;5000;4;1;1;1;1821
30;240;5000;4;1;1;1;1821
30;240;5000;4;1;1;1;1821
33;240;5000;4;1;1;1;1821
33;240;5000;4;1;1;1;1821
27;120;5000;4;1;1;1;1822
27;120;5000;4;1;1;1;1822
30;120;5000;4;1;1;1;1822
33;120;5000;4;2;1;1;1822
30;240;5000;4;2;1;1;1822
30;240;5000;4;2;0;1;1822
33;240;5000;4;1;1;1;1822
33;240;5000;4;1;1;1;1822
33;240;5000;4;1;0;1;1822
33;240;5000;4;1;0;1;1822
27;120;5000;4;2;0;1;1823
30;120;5000;4;1;1;1;1823
30;120;5000;4;2;1;1;1823
27;240;5000;4;2;1;1;1823
27;240;5000;4;2;1;1;1823
33;240;5000;4;1;1;1;1823
27;120;5000;4;2;0;1;1824
30;120;5000;4;2;1;1;1824
30;120;5000;4;2;1;1;1824
33;120;5000;4;2;1;1;1824
33;240;5000;4;1;0;1;1824
33;240;5000;4;2;0;1;1824
33;120;5000;4;2;1;1;1825
27;120;5000;4;1;1;1;1825
27;240;5000;4;1;1;1;1825
33;240;5000;4;1;1;1;1825
33;240;5000;4;2;0;1;1825
27;120;5000;4;2;1;1;1826
27;240;5000;4;1;0;1;1826
30;240;5000;4;1;1;1;1826
33;240;5000;4;2;0;1;1826
30;120;5000;4;1;0;1;1827
27;240;5000;4;1;0;1;1827
30;240;5000;4;1;0;1;1827
27;120;5000;4;2;0;1;1828
30;120;5000;4;1;1;1;1828
30;120;5000;4;1;0;1;1828
30;120;5000;4;1;0;1;1828
27;120;5000;4;1;0;1;1828
27;120;5000;4;1;0;1;1828
27;120;5000;4;1;0;1;1828
27;240;5000;4;1;0;1;1828
33;240;5000;4;2;1;1;1828
27;120;5000;4;1;0;1;1829
30;120;5000;4;1;0;1;1829
30;120;5000;4;2;1;1;1829
27;240;5000;4;1;1;1;1829
27;240;5000;4;1;1;1;1829
27;240;5000;4;1;0;1;1829
30;240;5000;4;1;0;1;1829
30;240;5000;4;2;0;1;1829
33;240;5000;4;1;0;1;1829
33;240;5000;4;1;0;1;1829
33;120;5000;4;1;1;1;1830
33;120;5000;4;1;1;1;1830
27;240;5000;4;1;0;1;1830
27;240;5000;4;2;0;1;1830
33;120;5000;4;2;1;1;1831
27;120;5000;4;1;1;1;1831
27;120;5000;4;1;1;1;1831
27;120;5000;4;2;1;1;1831
27;120;5000;4;2;1;1;1831
30;240;5000;4;1;1;1;1831
30;240;5000;4;2;0;1;1831
33;240;5000;4;2;0;1;1831
27;120;5000;4;1;0;1;1832
27;120;5000;4;1;0;1;1832
30;120;5000;4;2;1;1;1832
27;120;5000;4;1;1;1;1832
27;120;5000;4;2;1;1;1832
27;240;5000;4;2;0;1;1832
30;240;5000;4;2;0;1;1832
27;120;5000;4;1;1;1;1833
27;120;5000;4;1;0;1;1833
30;120;5000;4;2;0;1;1833
33;120;5000;4;2;0;1;1833
27;120;5000;4;1;0;1;1833
30;120;5000;4;2;1;1;1834
27;120;5000;4;2;1;1;1835
27;120;5000;4;2;1;1;1835
27;120;5000;4;2;1;1;1835
27;120;5000;4;2;0;1;1835
27;120;5000;4;2;0;1;1835
33;120;5000;4;1;0;1;1835
33;120;5000;4;1;0;1;1835
33;120;5000;4;1;0;1;1835
33;120;5000;4;2;0;1;1835
33;120;5000;4;2;0;1;1835
33;120;5000;4;2;0;1;1835
27;120;5000;4;1;1;1;1835
27;120;5000;4;1;0;1;1835
27;120;5000;4;2;0;1;1836
27;120;5000;4;1;0;1;1836
27;120;5000;4;2;1;1;1837
33;120;5000;4;1;0;1;1837
27;120;5000;4;1;0;1;1837
27;120;5000;4;1;0;1;1837
33;120;5000;4;1;1;1;1838
33;120;5000;4;1;0;1;1838
33;120;5000;4;1;0;1;1839
27;120;5000;4;1;0;1;1840
33;120;5000;4;1;1;1;1840
33;120;5000;4;1;0;1;1841
27;120;5000;4;1;0;1;1844
30;120;5000;4;1;0;1;1846
30;120;5000;4;2;0;1;1849
27;120;5000;4;1;0;1;1850
30;120;5000;4;1;0;1;1850
