Instancja;Czas;Jednostka;Wynik;Iteracji;Populacja;RandomNodes;praw.Mutacja;krzy¿owanie;selekcja;mutacja;elitism;memetic;czas;;;;;;;;;;;;;;;
ftv44.atsp;10003;ms;1668;261;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10012;ms;1660;264;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10013;ms;1702;249;150;3;0.15;2;1;2;5;1;10;;ftv44.atsp;1;1657,18;1613;1613;2,74%;;;ft53.atsp;1;7354,48;6967;6905;6,51%
ftv44.atsp;10024;ms;1680;244;150;3;0.15;2;1;2;5;1;10;;ftv44.atsp;2;1683,7;1623;1613;4,38%;;;ft53.atsp;2;7470,68;6975;6905;8,19%
ftv44.atsp;10014;ms;1623;255;150;3;0.15;2;1;2;5;1;10;;ftv44.atsp;3;1718,56;1640;1613;6,54%;;;ft53.atsp;3;7624,94;7113;6905;10,43%
ftv44.atsp;10026;ms;1658;263;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10026;ms;1662;265;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10022;ms;1695;265;150;3;0.15;2;1;2;5;1;10;;ftv55.atsp;1;1697,36;1608;1608;5,56%;;;ftv64.atsp;1;1943,48;1858;1839;5,68%
ftv44.atsp;10005;ms;1694;266;150;3;0.15;2;1;2;5;1;10;;ftv55.atsp;2;1716,76;1618;1608;6,76%;;;ftv64.atsp;2;1920,18;1858;1839;4,41%
ftv44.atsp;10026;ms;1623;261;150;3;0.15;2;1;2;5;1;10;;ftv55.atsp;3;1795,98;1620;1608;11,69%;;;ftv64.atsp;3;2010,8;1858;1839;9,34%
ftv44.atsp;10021;ms;1623;262;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10028;ms;1627;265;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10006;ms;1623;265;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10006;ms;1713;267;150;3;0.15;2;1;2;5;1;10;;ftv47.atsp;1;1862,02;1784;1776;4,84%;;;;;;;;
ftv44.atsp;10018;ms;1674;261;150;3;0.15;2;1;2;5;1;10;;ftv47.atsp;2;1878,94;1776;1776;5,80%;;;;;;;;
ftv44.atsp;10005;ms;1713;268;150;3;0.15;2;1;2;5;1;10;;ftv47.atsp;3;1930,82;1826;1776;8,72%;;;;;;;;
ftv44.atsp;10026;ms;1671;268;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10019;ms;1677;254;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10019;ms;1623;267;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10000;ms;1669;268;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10017;ms;1659;268;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10017;ms;1655;265;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10022;ms;1623;268;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10004;ms;1684;268;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10001;ms;1673;268;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10021;ms;1623;268;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10030;ms;1705;266;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10018;ms;1622;267;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10021;ms;1648;265;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10025;ms;1623;269;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10028;ms;1722;269;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10007;ms;1662;266;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10001;ms;1623;268;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10022;ms;1695;267;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10021;ms;1661;264;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10003;ms;1632;267;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10000;ms;1623;266;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10001;ms;1632;268;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10022;ms;1632;266;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10013;ms;1623;265;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10001;ms;1613;265;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10004;ms;1613;267;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10026;ms;1653;268;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10001;ms;1696;267;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10012;ms;1667;267;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10009;ms;1623;266;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10000;ms;1669;268;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10017;ms;1660;265;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10007;ms;1665;266;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10014;ms;1702;267;150;3;0.15;2;1;2;5;1;10;1657,18;1613;267;;;;;;;;;;;;
ftv44.atsp;10004;ms;1681;239;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10032;ms;1682;238;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10024;ms;1623;239;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10035;ms;1696;239;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10025;ms;1708;240;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10003;ms;1623;238;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10012;ms;1720;238;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10011;ms;1650;239;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10023;ms;1662;239;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10029;ms;1737;238;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10019;ms;1627;238;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10024;ms;1731;238;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10034;ms;1640;239;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10016;ms;1669;236;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10003;ms;1646;234;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10034;ms;1659;238;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10012;ms;1721;237;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10014;ms;1695;236;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10007;ms;1650;237;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10026;ms;1727;239;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10022;ms;1681;239;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10022;ms;1695;239;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10035;ms;1659;238;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10026;ms;1679;238;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10034;ms;1692;239;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10012;ms;1761;239;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10030;ms;1717;240;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10000;ms;1659;239;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10018;ms;1649;238;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10022;ms;1650;238;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10006;ms;1716;236;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10014;ms;1669;238;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10000;ms;1698;237;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10030;ms;1731;240;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10022;ms;1730;240;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10001;ms;1623;238;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10000;ms;1676;238;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ftv44.atsp;10026;ms;1709;239;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
