Instancja;Czas;Jednostka;Wynik;Iteracji;Populacja;RandomNodes;praw.Mutacja;krzy¿owanie;selekcja;mutacja;elitism;memetic;czas;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10010;ms;2370;267;150;3;0.15;2;1;2;0;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10031;ms;1822;268;150;3;0.15;2;1;2;0;1;10;;;;;ftv44.atsp;0;2242,05;1822;1613;39,00%;;;;ft53.atsp;0;10876,15;9872;6905;57,51%
ftv44.atsp;10017;ms;2025;268;150;3;0.15;2;1;2;0;1;10;;;;;ftv44.atsp;1;1706,9;1646;1613;5,82%;;;;ft53.atsp;1;7642,55;7251;6905;10,68%
ftv44.atsp;10022;ms;2348;267;150;3;0.15;2;1;2;0;1;10;;;;;ftv44.atsp;5;1661,95;1623;1613;3,03%;;;;ft53.atsp;5;7264,55;7047;6905;5,21%
ftv44.atsp;10014;ms;2018;264;150;3;0.15;2;1;2;0;1;10;;;;;ftv44.atsp;10;1664,45;1613;1613;3,19%;;;;ft53.atsp;10;7412,95;7057;6905;7,36%
ftv44.atsp;10025;ms;2572;267;150;3;0.15;2;1;2;0;1;10;;;;;ftv44.atsp;15;1690;1640;1613;4,77%;;;;ft53.atsp;15;7493;7108;6905;8,52%
ftv44.atsp;10019;ms;2137;269;150;3;0.15;2;1;2;0;1;10;;;;;ftv44.atsp;25;1676,95;1613;1613;3,96%;;;;ft53.atsp;25;7490,2;7250;6905;8,48%
ftv44.atsp;10021;ms;1935;269;150;3;0.15;2;1;2;0;1;10;;;;;ftv44.atsp;35;1675,75;1622;1613;3,89%;;;;ft53.atsp;35;7425,25;7124;6905;7,53%
ftv44.atsp;10017;ms;2331;270;150;3;0.15;2;1;2;0;1;10;;;;;ftv44.atsp;45;1666,25;1623;1613;3,30%;;;;ft53.atsp;45;7394;7090;6905;7,08%
ftv44.atsp;10029;ms;2705;259;150;3;0.15;2;1;2;0;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10007;ms;2308;263;150;3;0.15;2;1;2;0;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10011;ms;2239;271;150;3;0.15;2;1;2;0;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10010;ms;2262;269;150;3;0.15;2;1;2;0;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10004;ms;2005;268;150;3;0.15;2;1;2;0;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10030;ms;2232;269;150;3;0.15;2;1;2;0;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10007;ms;2759;271;150;3;0.15;2;1;2;0;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10007;ms;2153;269;150;3;0.15;2;1;2;0;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10003;ms;2494;268;150;3;0.15;2;1;2;0;1;10;;;;;ftv55.atsp;0;3078,8;2742;1608;91,47%;;;;ftv64.atsp;0;3535,65;2982;1839;92,26%
ftv44.atsp;10010;ms;2225;264;150;3;0.15;2;1;2;0;1;10;;;;;ftv55.atsp;1;1805,5;1628;1608;12,28%;;;;ftv64.atsp;1;2042,85;1894;1839;11,08%
