Instancja;Czas;Jednostka;Wynik;Iteracji;Populacja;RandomNodes;praw.Mutacja;krzyżowanie;selekcja;mutacja;elitism;memetic;czas
ftv44.atsp;10020;ms;1634;403;100;3;0.15;6;1;2;5;1;10
ftv44.atsp;10010;ms;1636;401;100;3;0.15;6;1;2;5;1;10
ftv44.atsp;10017;ms;1636;400;100;3;0.15;6;1;2;5;1;10
ftv44.atsp;10019;ms;1642;399;100;3;0.15;6;1;2;5;1;10
ftv44.atsp;10022;ms;1642;401;100;3;0.15;6;1;2;5;1;10
ftv44.atsp;10001;ms;1642;402;100;3;0.15;6;1;2;5;1;10
ftv44.atsp;10013;ms;1646;400;100;3;0.15;6;1;2;5;1;10
ftv44.atsp;10018;ms;1646;398;100;3;0.15;6;1;2;5;1;10
ftv44.atsp;10010;ms;1646;401;100;3;0.15;6;1;2;5;1;10
ftv44.atsp;10006;ms;1646;401;100;3;0.15;6;1;2;5;1;10
ftv44.atsp;10015;ms;1646;400;100;3;0.15;6;1;2;5;1;10
ftv44.atsp;10016;ms;1646;401;100;3;0.15;6;1;2;5;1;10
ftv44.atsp;10001;ms;1646;403;100;3;0.15;6;1;2;5;1;10
ftv44.atsp;10003;ms;1646;402;100;3;0.15;6;1;2;5;1;10
ftv44.atsp;10016;ms;1646;405;100;3;0.15;6;1;2;5;1;10
ftv44.atsp;10018;ms;1646;403;100;3;0.15;6;1;2;5;1;10
ftv44.atsp;10012;ms;1646;402;100;3;0.15;6;1;2;5;1;10
ftv44.atsp;10003;ms;1646;403;100;3;0.15;6;1;2;5;1;10
ftv44.atsp;10021;ms;1655;402;100;3;0.15;6;1;2;5;1;10
ftv44.atsp;10001;ms;1655;401;100;3;0.15;6;1;2;5;1;10
ftv44.atsp;10019;ms;1656;400;100;3;0.15;6;1;2;5;1;10
ftv44.atsp;10010;ms;1662;401;100;3;0.15;6;1;2;5;1;10
ftv44.atsp;10014;ms;1662;399;100;3;0.15;6;1;2;5;1;10
ftv44.atsp;10002;ms;1662;389;100;3;0.15;7;1;2;5;1;10
ftv44.atsp;10007;ms;1662;386;100;3;0.15;7;1;2;5;1;10
ftv44.atsp;10010;ms;1662;391;100;3;0.15;7;1;2;5;1;10
ftv44.atsp;10022;ms;1664;390;100;3;0.15;7;1;2;5;1;10
ftv44.atsp;10006;ms;1664;390;100;3;0.15;7;1;2;5;1;10
ftv44.atsp;10016;ms;1664;392;100;3;0.15;7;1;2;5;1;10
