Instancja;Czas;Jednostka;Wynik;Iteracji;Populacja;RandomNodes;praw.Mutacja;krzy¿owanie;selekcja;mutacja;elitism;memetic;czas;;;;;;;;;;;
ftv44.atsp;10000;ms;1758;4243;100;3;0.15;2;1;2;5;1;10;;;bez;ftv44;1809,45;1730;1916;4311;1613;12,18%;7,25%
ftv44.atsp;10001;ms;1916;4267;100;3;0.15;2;1;2;5;1;10;;;memetic;;1655,2;1623;1744;451;1613;2,62%;0,62%
ftv44.atsp;10001;ms;1867;4302;100;3;0.15;2;1;2;5;1;10;;;bez;ft53;7912,45;7185;8586;3809;6905;14,59%;4,06%
ftv44.atsp;10000;ms;1764;4304;100;3;0.15;2;1;2;5;1;10;;;memetic;;7396,55;7070;7763;255;6905;7,12%;2,39%
ftv44.atsp;10000;ms;1873;4278;100;3;0.15;2;1;2;5;1;10;;;bez;ftv55;1852,7;1693;1945;3719;1608;15,22%;5,29%
ftv44.atsp;10001;ms;1801;4313;100;3;0.15;2;1;2;5;1;10;;;memetic;;1688,85;1608;1828;247;1608;5,03%;0,00%
ftv44.atsp;10001;ms;1751;4315;100;3;0.15;2;1;2;5;1;10;;;bez;ftv64;2110,25;1998;2197;2867;1839;14,75%;8,65%
ftv44.atsp;10000;ms;1730;4276;100;3;0.15;2;1;2;5;1;10;;;memetic;;1945,15;1880;2066;148;1839;5,77%;2,23%
ftv44.atsp;10001;ms;1864;4310;100;3;0.15;2;1;2;5;1;10;;;bez;ftv47;2056,95;1889;2186;4083;1776;15,82%;6,36%
ftv44.atsp;10000;ms;1769;4308;100;3;0.15;2;1;2;5;1;10;;;memetic;;1877,65;1803;1979;386;1776;5,72%;1,52%
ftv44.atsp;10002;ms;1767;4194;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv44.atsp;10001;ms;1801;4290;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv44.atsp;10000;ms;1792;4278;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv44.atsp;10000;ms;1821;4271;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv44.atsp;10000;ms;1838;4288;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv44.atsp;10000;ms;1843;4285;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv44.atsp;10001;ms;1788;4279;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv44.atsp;10001;ms;1782;4292;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv44.atsp;10002;ms;1782;4305;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv44.atsp;10001;ms;1882;4311;100;3;0.15;2;1;2;5;1;10;1809,45;1730;1916;;;;;;;;
ft53.atsp;10001;ms;8438;3866;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ft53.atsp;10002;ms;7843;3833;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ft53.atsp;10002;ms;7926;3842;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ft53.atsp;10001;ms;7284;3804;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ft53.atsp;10000;ms;8586;3745;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ft53.atsp;10001;ms;7464;3770;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ft53.atsp;10000;ms;8031;3730;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ft53.atsp;10000;ms;7956;3769;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ft53.atsp;10000;ms;8563;3741;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
