Instancja;Czas;Jednostka;Wynik;Typ memetic;0 wyspa;1 wyspa;2 wyspa;3 wyspa;4 wyspa;;;;;;;;;;;;;;;;;;
ftv44.atsp;5601;ms;1704;1;10;9;10;9;9;;;;;;;;;;;;;;;;;;
ftv44.atsp;5631;ms;1704;1;8;7;8;8;7;;;Instancja;Odchylenie;Maksimum;Œrednia;Minimum;Œrednia iteracji;Optimum;;;Instancja;Odchylenie;Maksimum;Œrednia;Minimum;Œrednia iteracji;Optimum
ftv44.atsp;5573;ms;1704;1;8;7;8;9;8;;;20;ftv44.atsp;1668.53;1634;17.21606896;1704;187.51;;;20;ft53.atsp;7248.93;6915;139.3453855;7589;147.65
ftv44.atsp;5637;ms;1704;1;9;7;8;8;7;;;15;ftv44.atsp;1668.59;1627;17.78893936;1705;136.074;;;15;ft53.atsp;7260.23;7034;119.4653794;7590;110.834
ftv44.atsp;5647;ms;1717;1;9;8;9;9;8;;;10;ftv44.atsp;1669.53;1634;14.9033621;1705;86.044;;;10;ft53.atsp;7262.87;6975;132.9656031;7604;73.938
ftv44.atsp;5652;ms;1752;1;8;7;8;8;7;;;5;ftv44.atsp;1680.22;1648;17.47643724;1742;43.63;;;5;ft53.atsp;7354.58;7034;154.1898463;7983;36.62
ftv44.atsp;5982;ms;1704;1;9;7;9;9;7;;;2;ftv44.atsp;1702.04;1659;12.60504949;1743;17.074;;;2;ft53.atsp;7603.85;7266;139.9232383;7958;14.218
ftv44.atsp;5850;ms;1704;1;9;8;9;9;8;;;1;ftv44.atsp;1717.14;1688;23.53635486;1828;8.164;;;1;ft53.atsp;7810.04;7462;151.2820578;8129;01.06.1971
ftv44.atsp;5690;ms;1761;1;10;8;9;9;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;5621;ms;1704;1;10;8;9;10;9;;;;;;;;;;;;;;;;;;
ftv44.atsp;5432;ms;1717;1;9;8;9;9;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;5756;ms;1723;1;9;8;9;9;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;5506;ms;1704;1;9;7;8;8;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;5478;ms;1704;1;10;8;9;9;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;5570;ms;1704;1;9;7;9;9;7;;;;;;;;;;;;;;;;;;
ftv44.atsp;5479;ms;1704;1;10;8;8;8;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;5424;ms;1761;1;10;8;10;9;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;5501;ms;1704;1;9;8;9;9;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;5680;ms;1704;1;10;8;9;10;9;;Czas;Instancja;Odchylenie;Maksimum;Œrednia;Minimum;Œrednia iteracji;Optimum;Odchylenie;Maksimum;Œrednia;Minimum;;;;;
