Instancja;Czas;Jednostka;Wynik;Typ memetic;0 wyspa;1 wyspa;2 wyspa;3 wyspa;4 wyspa;;;;;;;;;;;;;
ftv55.atsp;20493;ms;1668;1;59;59;68;68;60;;Czas;Instancja;Odchylenie;Maksimum;Œrednia;Minimum;Œrednia iteracji;Optimum;Odchylenie;Maksimum;Œrednia;Minimum
ftv55.atsp;20129;ms;1704;1;59;59;68;68;59;;20;ftv47.atsp;25.68988324;1888;1824.64;1776;167.0626263;1776;1.446502435;6.306306306;2.738738739;0
ftv55.atsp;20097;ms;1629;1;58;58;68;67;59;;15;ftv47.atsp;23.25871322;1888;1829.926667;1776;131.3773333;1776;1.309612231;6.306306306;3.03641143;0
ftv55.atsp;21356;ms;1704;1;47;47;56;56;46;;10;ftv47.atsp;23.24958781;1888;1832.89;1790;83.27878788;1776;1.309098413;6.306306306;3.203265766;0.788288288
ftv55.atsp;23432;ms;1704;1;53;54;61;63;55;;5;ftv47.atsp;23.65035503;1888;1843.79;1785;40.66464646;1776;1.331664135;6.306306306;3.817004505;0.506756757
ftv55.atsp;20863;ms;1636;1;54;54;62;62;55;;2;ftv47.atsp;22.76199872;1922;1872.05;1798;14.896;1776;1.281644072;8.220720721;5.408220721;1.238738739
ftv55.atsp;20941;ms;1704;1;54;55;64;64;57;;1;ftv47.atsp;28.84966257;2003;1913;1841;7.054;1776;1.624417938;12.78153153;7.713963964;3.65990991
ftv55.atsp;20581;ms;1704;1;54;55;63;63;55;;;;;;;;;;;;;
ftv55.atsp;20653;ms;1675;1;55;55;64;64;55;;Czas;Instancja;Odchylenie;Maksimum;Œrednia;Minimum;Œrednia iteracji;Optimum;Odchylenie;Maksimum;Œrednia;Minimum
ftv55.atsp;20853;ms;1704;1;53;53;63;61;53;;20;ftv64.atsp;18.21505649;1931;1868.36;1839;97.74141414;1839;0.99048703;5.002718869;1.596519848;0
ftv55.atsp;20855;ms;1659;1;55;54;62;64;55;;15;ftv64.atsp;30.30013622;1931;1889.32;1839;76.65866667;1839;1.647641991;5.002718869;1.736269712;0
ftv55.atsp;20877;ms;1704;1;49;49;58;58;50;;10;ftv64.atsp;16.21719688;1931;1867.95;1839;48.11717172;1839;0.881848661;5.002718869;1.574225122;0
ftv55.atsp;23936;ms;1659;1;51;51;58;59;52;;5;ftv64.atsp;19.33457415;1955;1877.45;1842;23.07272727;1839;1.051363467;6.307775965;2.090810223;0.163132137
ftv55.atsp;21030;ms;1704;1;55;55;64;64;56;;2;ftv64.atsp;21.0746245;1945;1893.04;1842;8.826;1839;1.145982844;5.764002175;2.938553562;0.163132137
ftv55.atsp;20808;ms;1716;1;54;54;63;62;54;;1;ftv64.atsp;24.68431801;1978;1920.76;1864;4.476;1839;1.342268516;7.558455682;4.445894508;1.359434475
ftv55.atsp;20679;ms;1636;1;54;53;63;63;55;;;;;;;;;;;;;
ftv55.atsp;20581;ms;1704;1;52;51;62;63;53;;;;;;;;;;;;;
ftv55.atsp;20820;ms;1638;1;55;55;64;65;56;;Czas;Instancja;Odchylenie;Maksimum;Œrednia;Minimum;Œrednia iteracji;Optimum;Odchylenie;Maksimum;Œrednia;Minimum
ftv55.atsp;20849;ms;1638;1;55;55;64;64;55;;20;ftv55.atsp;32.09244082;1716;1679.6;1627;129.610101;1608;1.995798558;6.71641791;4.452736318;1.18159204
ftv55.atsp;20903;ms;1716;1;53;53;61;61;54;;15;ftv55.atsp;31.06880579;1704;1682.733333;1608;99.94266667;1608;1.932139664;5.970149254;4.647595336;0
ftv55.atsp;21083;ms;1716;1;52;51;60;61;50;;10;ftv55.atsp;29.7783665;1716;1683.58;1628;58.92323232;1608;1.851888464;6.71641791;4.700248756;1.243781095
ftv55.atsp;20986;ms;1704;1;53;55;64;65;56;;5;ftv55.atsp;26.37173839;1757;1698.69;1636;32.23838384;1608;1.640033482;9.266169154;5.639925373;1.741293532
ftv55.atsp;20716;ms;1704;1;53;53;61;62;54;;2;ftv55.atsp;31.56662827;1825;1753.25;1647;11.596;1608;1.963098773;13.49502488;9.032960199;2.425373134
ftv55.atsp;20689;ms;1628;1;54;54;63;62;54;;1;ftv55.atsp;25.82027236;1841;1805.98;1721;5.798;1608;1.605738331;14.49004975;12.31218905;7.027363184
ftv55.atsp;22091;ms;1672;1;48;47;55;55;48;;;;;;;;;;;;;
ftv55.atsp;23003;ms;1704;1;49;49;57;58;49;;;;;;;;;;;;;
ftv55.atsp;21710;ms;1659;1;48;49;55;56;49;;;;;;;;;;;;;
ftv55.atsp;21709;ms;1666;1;52;51;59;59;52;;;;;;;;;;;;;
ftv55.atsp;21408;ms;1704;1;50;51;58;58;51;;;;;;;;;;;;;
ftv55.atsp;21954;ms;1635;1;53;52;63;62;53;;;;;;;;;;;;;
ftv55.atsp;20772;ms;1635;1;52;52;59;60;51;;;;;;;;;;;;;
ftv55.atsp;21174;ms;1704;1;49;50;59;60;51;;;;;;;;;;;;;
ftv55.atsp;21374;ms;1704;1;54;54;64;63;55;;;;;;;;;;;;;
ftv55.atsp;21460;ms;1716;1;56;54;63;63;55;;;;;;;;;;;;;
ftv55.atsp;21707;ms;1628;1;55;55;63;65;56;;;;;;;;;;;;;
ftv55.atsp;20181;ms;1628;1;59;59;69;67;59;;;;;;;;;;;;;
ftv55.atsp;21087;ms;1704;1;52;51;58;59;52;;;;;;;;;;;;;
ftv55.atsp;20681;ms;1691;1;58;57;66;66;58;;;;;;;;;;;;;
ftv55.atsp;20576;ms;1659;1;57;56;65;66;57;;;;;;;;;;;;;
ftv55.atsp;20748;ms;1629;1;55;56;66;66;58;;;;;;;;;;;;;
ftv55.atsp;20666;ms;1704;1;57;56;66;66;57;;;;;;;;;;;;;
ftv55.atsp;20541;ms;1704;1;57;55;66;65;57;;;;;;;;;;;;;
ftv55.atsp;20455;ms;1704;1;57;57;67;66;57;;;;;;;;;;;;;
ftv55.atsp;20395;ms;1704;1;57;57;66;67;56;;;;;;;;;;;;;
ftv55.atsp;20507;ms;1704;1;56;57;66;66;57;;;;;;;;;;;;;
ftv55.atsp;20482;ms;1704;1;57;57;65;66;57;;;;;;;;;;;;;
ftv55.atsp;20455;ms;1628;1;58;57;65;65;56;;;;;;;;;;;;;
ftv55.atsp;20650;ms;1659;1;59;58;68;68;59;;;;;;;;;;;;;
ftv55.atsp;20327;ms;1704;1;60;59;69;69;61;;;;;;;;;;;;;
ftv55.atsp;20572;ms;1666;1;55;56;64;62;56;;;;;;;;;;;;;
ftv55.atsp;21079;ms;1704;1;58;59;66;67;58;;;;;;;;;;;;;
ftv55.atsp;20668;ms;1704;1;51;52;60;60;52;;;;;;;;;;;;;
ftv55.atsp;20336;ms;1704;1;57;58;67;68;58;;;;;;;;;;;;;
ftv55.atsp;20342;ms;1654;1;60;58;69;68;60;;;;;;;;;;;;;
ftv55.atsp;20165;ms;1704;1;59;59;69;70;60;;;;;;;;;;;;;
ftv55.atsp;20094;ms;1704;1;55;55;64;65;54;;;;;;;;;;;;;
ftv55.atsp;22245;ms;1645;1;54;54;62;63;55;;;;;;;;;;;;;
ftv55.atsp;21658;ms;1716;1;49;47;56;56;49;;;;;;;;;;;;;
ftv55.atsp;22702;ms;1663;1;48;48;56;56;48;;;;;;;;;;;;;
ftv55.atsp;20446;ms;1716;1;57;57;66;68;58;;;;;;;;;;;;;
ftv55.atsp;20719;ms;1635;1;58;58;67;67;59;;;;;;;;;;;;;
ftv55.atsp;20877;ms;1704;1;57;57;66;66;57;;;;;;;;;;;;;
ftv55.atsp;20553;ms;1716;1;56;57;65;65;57;;;;;;;;;;;;;
ftv55.atsp;21340;ms;1628;1;57;57;66;67;58;;;;;;;;;;;;;
ftv55.atsp;20780;ms;1704;1;56;56;65;65;58;;;;;;;;;;;;;
