Instancja;Czas;Jednostka;Wynik;Typ memetic;0 wyspa;1 wyspa;2 wyspa;3 wyspa;4 wyspa;
kro124p.atsp;15673;ms;40491;1;34;32;34;34;32;
kro124p.atsp;15396;ms;40619;1;34;32;34;34;31;
kro124p.atsp;15535;ms;39578;1;34;32;35;35;32;
kro124p.atsp;15494;ms;41053;1;34;33;34;34;32;
kro124p.atsp;15395;ms;39659;1;33;32;34;34;31;
kro124p.atsp;15466;ms;39312;1;34;32;34;34;31;
kro124p.atsp;15498;ms;40660;1;34;32;34;35;31;
kro124p.atsp;15408;ms;40096;1;34;31;33;34;31;
kro124p.atsp;15521;ms;40660;1;34;32;34;34;32;
kro124p.atsp;15523;ms;39614;1;34;33;34;34;31;
kro124p.atsp;15540;ms;39738;1;33;33;34;34;32;
kro124p.atsp;15440;ms;39541;1;34;32;34;34;31;
kro124p.atsp;15583;ms;40078;1;34;33;34;34;32;
kro124p.atsp;15538;ms;39691;1;34;32;34;35;31;
kro124p.atsp;15259;ms;40604;1;34;32;34;34;31;
kro124p.atsp;15500;ms;39399;1;34;32;34;34;31;
kro124p.atsp;15557;ms;38887;1;33;33;34;34;32;
kro124p.atsp;15513;ms;40080;1;34;33;34;34;31;
kro124p.atsp;15491;ms;39094;1;34;32;34;33;31;
kro124p.atsp;15469;ms;40627;1;34;32;34;34;31;
kro124p.atsp;15530;ms;39610;1;34;32;34;34;31;
kro124p.atsp;15531;ms;40089;1;34;32;34;34;31;
kro124p.atsp;15550;ms;40203;1;34;33;34;34;31;
kro124p.atsp;15443;ms;40620;1;34;33;34;34;31;
kro124p.atsp;15549;ms;40604;1;33;33;34;34;32;
kro124p.atsp;15471;ms;39760;1;34;32;34;34;31;
kro124p.atsp;15567;ms;39528;1;34;33;34;34;32;
kro124p.atsp;15465;ms;39579;1;33;31;33;34;30;
kro124p.atsp;15593;ms;41387;1;35;33;34;35;32;
kro124p.atsp;15527;ms;39514;1;34;33;34;34;32;
kro124p.atsp;15537;ms;39291;1;35;33;34;34;32;
kro124p.atsp;15511;ms;40240;1;34;33;34;34;32;
kro124p.atsp;15569;ms;39451;1;35;32;34;35;32;
kro124p.atsp;15464;ms;40037;1;34;32;34;34;31;
kro124p.atsp;15418;ms;39541;1;34;32;34;34;31;
kro124p.atsp;15509;ms;41033;1;34;33;35;34;31;
kro124p.atsp;15549;ms;40564;1;34;32;34;34;32;
kro124p.atsp;15524;ms;40248;1;34;32;34;35;31;
kro124p.atsp;15452;ms;40972;1;34;32;34;34;31;
kro124p.atsp;15306;ms;39772;1;34;32;34;34;31;
kro124p.atsp;15501;ms;40871;1;34;33;34;34;32;
kro124p.atsp;15357;ms;40740;1;33;32;34;33;31;
kro124p.atsp;15405;ms;39305;1;32;32;34;33;31;
kro124p.atsp;15557;ms;40909;1;34;33;34;35;30;
kro124p.atsp;15490;ms;39654;1;34;33;34;34;31;
kro124p.atsp;15519;ms;39018;1;34;33;34;35;32;
kro124p.atsp;15553;ms;40727;1;34;31;34;34;32;
kro124p.atsp;15423;ms;39738;1;34;32;34;34;31;
kro124p.atsp;15476;ms;41245;1;34;33;34;35;31;
kro124p.atsp;15444;ms;40740;1;34;32;34;33;31;38887
kro124p.atsp;30579;ms;39782;1;68;66;69;68;64;
kro124p.atsp;30531;ms;39161;1;70;66;69;69;63;
kro124p.atsp;30561;ms;39233;1;69;66;69;70;64;
kro124p.atsp;30429;ms;39376;1;68;65;68;69;63;
kro124p.atsp;30431;ms;39262;1;69;65;68;68;63;
kro124p.atsp;30492;ms;39161;1;67;63;66;67;61;
kro124p.atsp;30461;ms;40290;1;64;62;65;65;60;
kro124p.atsp;30601;ms;39027;1;67;64;67;68;62;
kro124p.atsp;30580;ms;39279;1;63;59;63;62;57;
kro124p.atsp;30462;ms;39102;1;63;60;63;61;58;
kro124p.atsp;30487;ms;39625;1;65;61;65;64;59;
kro124p.atsp;30492;ms;38822;1;66;62;66;66;60;
kro124p.atsp;30490;ms;39716;1;66;62;66;67;61;
kro124p.atsp;30568;ms;40515;1;66;63;65;66;61;
kro124p.atsp;30397;ms;40040;1;65;62;64;66;60;
kro124p.atsp;30531;ms;39291;1;61;58;60;61;56;
kro124p.atsp;30492;ms;39291;1;66;62;64;66;60;
kro124p.atsp;30560;ms;39326;1;67;64;66;67;61;
kro124p.atsp;30480;ms;39291;1;67;63;67;67;62;
kro124p.atsp;30542;ms;39923;1;67;65;67;67;62;
kro124p.atsp;30565;ms;39262;1;67;63;65;66;61;
kro124p.atsp;30434;ms;39075;1;66;63;66;66;61;
kro124p.atsp;30588;ms;39262;1;66;64;67;67;62;
kro124p.atsp;30572;ms;39160;1;66;62;66;65;61;
kro124p.atsp;30484;ms;39479;1;69;65;69;67;63;
kro124p.atsp;30536;ms;39330;1;69;66;69;69;63;
kro124p.atsp;30416;ms;39527;1;69;66;69;69;64;
kro124p.atsp;30555;ms;39509;1;69;66;70;70;64;
kro124p.atsp;30553;ms;39319;1;68;66;70;69;64;
kro124p.atsp;30499;ms;38305;1;69;66;69;69;63;
kro124p.atsp;30457;ms;39075;1;69;65;69;69;63;
kro124p.atsp;30415;ms;38735;1;68;66;69;70;64;
kro124p.atsp;30498;ms;38545;1;70;66;69;69;63;
kro124p.atsp;30430;ms;39531;1;69;66;68;69;64;
kro124p.atsp;30478;ms;39362;1;69;66;69;69;64;
kro124p.atsp;30384;ms;39142;1;70;65;69;69;64;
kro124p.atsp;30437;ms;39161;1;69;66;69;69;63;
kro124p.atsp;30495;ms;39262;1;68;66;68;69;63;
kro124p.atsp;30433;ms;38661;1;69;65;69;69;63;
kro124p.atsp;30550;ms;38829;1;67;65;68;68;63;
kro124p.atsp;30555;ms;39262;1;69;65;68;69;63;
kro124p.atsp;30500;ms;39131;1;68;66;69;69;64;
kro124p.atsp;30553;ms;38375;1;64;61;65;63;60;
kro124p.atsp;30624;ms;39394;1;56;55;57;57;53;
kro124p.atsp;30543;ms;39479;1;61;59;63;63;56;
kro124p.atsp;30360;ms;40301;1;66;62;66;65;60;
kro124p.atsp;30472;ms;40671;1;66;61;65;65;60;
kro124p.atsp;30593;ms;40288;1;67;64;68;68;62;
kro124p.atsp;30497;ms;39668;1;67;64;66;67;62;
kro124p.atsp;30431;ms;39262;1;68;64;66;67;62;38305
ftv170.atsp;16956;ms;3512;1;10;10;10;10;9;
ftv170.atsp;16808;ms;3499;1;11;10;11;11;10;
ftv170.atsp;16758;ms;3512;1;11;10;11;10;10;
ftv170.atsp;16948;ms;3512;1;11;11;11;11;11;
ftv170.atsp;16571;ms;3491;1;10;10;10;10;10;
ftv170.atsp;16884;ms;3488;1;11;11;11;11;10;
ftv170.atsp;17010;ms;3512;1;11;11;11;11;11;
ftv170.atsp;16838;ms;3503;1;11;10;11;11;10;
ftv170.atsp;16824;ms;3499;1;11;10;11;11;10;
ftv170.atsp;16716;ms;3512;1;11;11;11;11;11;
ftv170.atsp;16812;ms;3512;1;11;10;10;10;10;
ftv170.atsp;16695;ms;3499;1;11;11;11;11;10;
ftv170.atsp;16869;ms;3491;1;11;11;11;11;11;
ftv170.atsp;16949;ms;3499;1;11;11;11;11;11;
ftv170.atsp;16829;ms;3491;1;10;10;10;10;9;
ftv170.atsp;16921;ms;3499;1;11;10;10;11;10;
ftv170.atsp;16780;ms;3491;1;10;10;10;10;10;
ftv170.atsp;16766;ms;3488;1;11;11;11;11;11;
ftv170.atsp;16769;ms;3488;1;11;11;11;11;11;
ftv170.atsp;16878;ms;3507;1;11;11;11;11;11;
ftv170.atsp;16537;ms;3499;1;11;11;11;11;10;
ftv170.atsp;16802;ms;3512;1;11;11;11;11;10;
ftv170.atsp;16779;ms;3503;1;11;11;11;11;11;
ftv170.atsp;16870;ms;3512;1;11;11;11;11;11;
ftv170.atsp;16878;ms;3476;1;11;11;11;11;11;
ftv170.atsp;16836;ms;3499;1;11;11;11;11;10;
ftv170.atsp;16936;ms;3491;1;11;11;11;11;11;
ftv170.atsp;16902;ms;3499;1;11;11;11;11;11;
ftv170.atsp;16926;ms;3499;1;11;11;11;11;11;
ftv170.atsp;16780;ms;3499;1;11;11;11;11;11;
ftv170.atsp;16895;ms;3491;1;11;11;11;11;11;
ftv170.atsp;16951;ms;3499;1;11;10;11;11;10;
ftv170.atsp;16610;ms;3508;1;11;11;11;11;10;
ftv170.atsp;16749;ms;3499;1;11;11;11;11;10;
ftv170.atsp;16767;ms;3512;1;11;10;11;11;10;
ftv170.atsp;16847;ms;3512;1;11;10;11;11;10;
ftv170.atsp;16667;ms;3508;1;11;11;11;11;10;
ftv170.atsp;16891;ms;3499;1;10;10;11;11;10;
ftv170.atsp;16730;ms;3530;1;10;10;10;10;10;
ftv170.atsp;16713;ms;3496;1;11;11;11;11;10;
ftv170.atsp;16938;ms;3499;1;11;11;11;11;10;
ftv170.atsp;16877;ms;3479;1;11;11;11;11;11;
ftv170.atsp;16713;ms;3530;1;10;10;10;10;10;
ftv170.atsp;16891;ms;3502;1;11;11;11;11;11;
ftv170.atsp;16740;ms;3491;1;11;10;10;11;10;
ftv170.atsp;16824;ms;3512;1;11;10;11;10;10;
ftv170.atsp;16539;ms;3499;1;11;11;11;11;10;
ftv170.atsp;16724;ms;3499;1;11;11;11;11;10;
ftv170.atsp;16990;ms;3491;1;11;11;11;11;11;
ftv170.atsp;16974;ms;3499;1;11;11;11;11;11;3476
ftv170.atsp;31861;ms;3276;1;21;21;22;21;21;
ftv170.atsp;31991;ms;3368;1;22;22;22;22;21;
ftv170.atsp;31978;ms;3285;1;22;22;22;22;21;
ftv170.atsp;31715;ms;3285;1;21;21;21;22;20;
ftv170.atsp;31814;ms;3331;1;23;22;22;23;22;
ftv170.atsp;31688;ms;3279;1;21;21;21;21;20;
ftv170.atsp;31889;ms;3276;1;23;22;23;23;22;
ftv170.atsp;31892;ms;3300;1;21;21;21;21;20;
ftv170.atsp;31775;ms;3279;1;22;22;22;23;21;
ftv170.atsp;31462;ms;3349;1;22;21;22;22;21;
ftv170.atsp;31873;ms;3279;1;22;22;22;22;22;
ftv170.atsp;31610;ms;3300;1;21;20;21;21;20;
ftv170.atsp;31741;ms;3345;1;23;22;22;22;21;
ftv170.atsp;31499;ms;3285;1;22;21;22;22;21;
ftv170.atsp;31653;ms;3259;1;22;22;22;22;21;
ftv170.atsp;31725;ms;3168;1;22;22;23;23;21;
ftv170.atsp;31781;ms;3276;1;23;22;23;23;22;
ftv170.atsp;31946;ms;3368;1;23;22;23;23;22;
ftv170.atsp;31793;ms;3321;1;20;19;20;20;19;
ftv170.atsp;31770;ms;3342;1;22;22;23;23;22;
ftv170.atsp;31709;ms;3276;1;23;22;23;23;21;
ftv170.atsp;31918;ms;3318;1;22;22;22;22;22;
ftv170.atsp;31720;ms;3368;1;23;22;22;23;21;
ftv170.atsp;31822;ms;3285;1;22;21;22;21;21;
ftv170.atsp;31822;ms;3273;1;23;22;23;22;21;
ftv170.atsp;31673;ms;3276;1;23;22;22;23;22;
ftv170.atsp;31789;ms;3285;1;23;22;23;23;22;
ftv170.atsp;31881;ms;3265;1;22;21;22;22;21;
ftv170.atsp;31590;ms;3292;1;21;21;21;21;20;
ftv170.atsp;31818;ms;3276;1;23;22;23;23;21;
ftv170.atsp;31659;ms;3347;1;22;22;22;22;21;
ftv170.atsp;31458;ms;3279;1;22;21;22;22;21;
ftv170.atsp;31803;ms;3279;1;23;22;23;23;22;
ftv170.atsp;31650;ms;3331;1;23;22;23;23;22;
ftv170.atsp;31895;ms;3276;1;23;22;23;23;22;
ftv170.atsp;31693;ms;3276;1;22;21;22;22;21;
ftv170.atsp;31548;ms;3368;1;22;21;22;22;21;
ftv170.atsp;31809;ms;3276;1;23;22;23;22;22;
ftv170.atsp;31894;ms;3276;1;23;22;23;23;22;
ftv170.atsp;31810;ms;3299;1;23;22;22;23;22;
ftv170.atsp;31670;ms;3279;1;21;21;21;21;20;
ftv170.atsp;31845;ms;3368;1;22;22;22;23;21;
ftv170.atsp;31652;ms;3276;1;23;22;23;23;22;
ftv170.atsp;31867;ms;3352;1;21;21;21;21;20;
ftv170.atsp;31851;ms;3300;1;20;20;20;21;19;
ftv170.atsp;31553;ms;3368;1;22;22;22;22;21;
ftv170.atsp;31610;ms;3371;1;21;20;21;21;20;
ftv170.atsp;31644;ms;3292;1;23;22;23;23;22;
ftv170.atsp;31888;ms;3276;1;22;22;23;23;22;
ftv170.atsp;31828;ms;3368;1;22;22;22;23;22;3168
rbg323.atsp;20907;ms;1688;1;2;2;2;2;2;
rbg323.atsp;20836;ms;1696;1;2;2;2;2;2;
rbg323.atsp;20879;ms;1689;1;2;2;2;2;2;
rbg323.atsp;21073;ms;1688;1;2;2;2;2;2;
rbg323.atsp;20895;ms;1695;1;2;2;2;2;2;
rbg323.atsp;20990;ms;1696;1;2;2;2;2;2;
rbg323.atsp;21056;ms;1688;1;2;2;2;2;2;
rbg323.atsp;20948;ms;1688;1;2;2;2;2;2;
rbg323.atsp;21027;ms;1688;1;2;2;2;2;2;
rbg323.atsp;21535;ms;1695;1;2;2;2;2;2;
rbg323.atsp;21083;ms;1688;1;2;2;2;2;2;
rbg323.atsp;21342;ms;1688;1;2;2;2;2;2;
rbg323.atsp;21631;ms;1688;1;2;2;2;2;2;
rbg323.atsp;21548;ms;1688;1;2;2;2;2;2;
rbg323.atsp;21437;ms;1685;1;2;2;2;2;2;
rbg323.atsp;21374;ms;1695;1;2;2;2;2;2;
rbg323.atsp;21556;ms;1688;1;2;2;2;2;2;
rbg323.atsp;21599;ms;1687;1;2;2;2;2;2;
rbg323.atsp;20964;ms;1688;1;2;2;2;2;2;
rbg323.atsp;21234;ms;1696;1;2;2;2;2;2;
rbg323.atsp;21170;ms;1688;1;2;2;2;2;2;
rbg323.atsp;21262;ms;1688;1;2;2;2;2;2;
rbg323.atsp;21445;ms;1688;1;2;2;2;2;2;
rbg323.atsp;21354;ms;1688;1;2;2;2;2;2;
rbg323.atsp;20955;ms;1697;1;2;2;2;2;2;
rbg323.atsp;21410;ms;1697;1;2;2;2;2;2;
rbg323.atsp;21085;ms;1688;1;2;2;2;2;2;
rbg323.atsp;21101;ms;1691;1;2;2;2;2;2;
rbg323.atsp;22424;ms;1688;1;2;2;2;2;2;
rbg323.atsp;20767;ms;1697;1;2;2;2;2;2;
rbg323.atsp;22203;ms;1688;1;2;2;2;2;2;
rbg323.atsp;22639;ms;1688;1;2;2;2;2;2;
rbg323.atsp;22461;ms;1688;1;2;2;2;2;2;
rbg323.atsp;22912;ms;1688;1;2;2;2;2;2;
rbg323.atsp;22013;ms;1690;1;2;2;2;2;2;
rbg323.atsp;21522;ms;1688;1;2;2;2;2;2;
