Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas;;;;data39;data45;data70;;data323;data358;data403;data443
ftv38.atsp;100;0.1;10;0.85;1;0;430;3181;0.0039359;;;;1536;1653;39762;;1516;1398;2544;2828
ftv38.atsp;100;0.1;10;0.85;1;0;430;3067;0.0010765;;;;1553;1660;39782;;1518;1401;2545;2840
ftv38.atsp;100;0.1;10;0.85;1;0;430;2949;0.0010838;;;;1561;1662;39814;;1520;1409;2546;2851
ftv38.atsp;100;0.1;10;0.85;1;0;430;3146;0.0010987;;;;1562;1679;39882;;1521;1427;2549;2858
ftv38.atsp;100;0.1;10;0.85;1;0;430;3020;0.001166;;;;1567;1683;39968;;1522;1433;2549;2861
ftv38.atsp;100;0.1;10;0.85;1;0;430;3147;0.0011169;;;;1568;1685;39977;;1523;1434;2551;2866
ftv38.atsp;100;0.1;10;0.85;1;0;430;3094;0.0010849;;;;1575;1693;39994;;1525;1435;2555;2867
ftv38.atsp;100;0.1;10;0.85;1;0;430;2708;0.0018164;;;;1575;1707;40004;;1526;1437;2555;2870
ftv38.atsp;100;0.1;10;0.85;1;1;430;2928;0.0012843;;;;1577;1708;40038;;1527;1437;2568;2870
ftv38.atsp;100;0.1;10;0.85;1;1;430;2912;0.0013002;;;;1578;1709;40089;;1530;1438;2569;2876
ftv38.atsp;100;0.1;10;0.85;1;1;430;2981;0.0021007;;;;1579;1716;40136;;1535;1439;2571;2882
ftv38.atsp;100;0.1;10;0.85;1;1;430;3148;0.0011754;;;;1583;1717;40141;;1535;1439;2575;2888
ftv38.atsp;100;0.1;10;0.85;1;1;430;3009;0.0012436;;;;1587;1721;40156;;1542;1440;2579;2896
ftv38.atsp;100;0.1;10;0.85;1;1;430;3073;0.0012636;;;;1589;1721;40160;;1544;1441;2585;2898
ftv38.atsp;100;0.1;10;0.85;1;1;430;3012;0.0010954;;;;1592;1722;40172;;1546;1446;2586;2899
ftv38.atsp;100;0.1;10;0.85;1;1;430;2757;0.0013334;;;;1593;1723;40172;;1548;1448;2588;2902
ftv38.atsp;100;0.1;10;0.85;1;2;430;3751;0.0010792;;;;1593;1723;40184;;1549;1448;2588;2903
ftv38.atsp;100;0.1;10;0.85;1;2;430;3585;0.0012193;;;;1594;1724;40209;;1549;1449;2588;2905
ftv38.atsp;100;0.1;10;0.85;1;2;430;3622;0.0012686;;;;1594;1725;40224;;1551;1451;2596;2910
ftv38.atsp;100;0.1;10;0.85;1;2;430;3454;0.0011822;;;;1595;1727;40232;;1553;1453;2598;2910
ftv38.atsp;100;0.1;10;0.85;1;2;430;3513;0.0011356;;;;1599;1727;40233;;1554;1455;2600;2913
ftv38.atsp;100;0.1;10;0.85;1;2;430;3357;0.0011645;;;;1599;1728;40252;;1554;1457;2601;2920
ftv38.atsp;100;0.1;10;0.85;1;2;430;2853;0.001122;;;;1601;1729;40263;;1555;1466;2602;2921
ftv38.atsp;100;0.1;10;0.85;1;2;430;3313;0.0011993;;;;1603;1731;40271;;1556;1466;2610;2930
ftv38.atsp;100;0.1;10;0.85;0;0;430;2525;0.0010538;;;;1604;1732;40282;;1556;1467;2615;2933
ftv38.atsp;100;0.1;10;0.85;0;0;430;3129;0.0012089;;;;1605;1735;40308;;1557;1467;2616;2936
ftv38.atsp;100;0.1;10;0.85;0;0;430;2869;0.0011265;;;;1605;1735;40313;;1558;1468;2616;2936
ftv38.atsp;100;0.1;10;0.85;0;0;430;2887;0.001126;;;;1605;1738;40315;;1558;1468;2616;2937
ftv38.atsp;100;0.1;10;0.85;0;0;430;3067;0.0010802;;;;1607;1739;40354;;1558;1472;2619;2938
