Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas
ftv47.atsp;1000;0.1;1000;0.99;1;1;917000;1843;lut.47
ftv47.atsp;100;0.1;1000;0.95;1;1;135000;1856;0.345876
ftv47.atsp;1000;0.1;1000;0.99;1;1;917000;1856;2.33183
ftv47.atsp;1000;0.1;1000;0.99;1;1;917000;1866;3.17455
ftv47.atsp;1000;0.001;1000;0.99;1;1;1375000;1882;3.45304
ftv47.atsp;100;0.1;1000;0.99;1;1;688000;1886;1.81866
ftv47.atsp;100;0.1;1000;0.99;1;1;688000;1889;1.73594
ftv47.atsp;1000;0.1;100;0.99;1;1;91700;1889;0.236857
ftv47.atsp;1000;0.01;1000;0.9;1;1;110000;1891;0.320712
ftv47.atsp;100;0.1;1000;0.85;1;1;43000;1899;0.115891
ftv47.atsp;1000;0.1;100;0.99;1;1;91700;1905;0.240381
ftv47.atsp;1000;0.001;1000;0.9;1;1;132000;1905;0.330547
ftv47.atsp;100;0.01;1000;0.99;1;1;917000;1907;2.416
ftv47.atsp;1000;0.01;1000;0.99;1;1;1146000;1908;2.96498
ftv47.atsp;100;0.01;1000;0.95;1;1;180000;1910;0.457621
ftv47.atsp;1000;0.001;1000;0.9;1;1;132000;1910;0.332045
ftv47.atsp;1000;0.001;1000;0.95;1;1;270000;1911;0.696075
ftv47.atsp;1000;0.01;1000;0.99;1;1;1146000;1913;3.11892
ftv47.atsp;100;0.01;1000;0.95;1;1;180000;1918;0.506539
ftv47.atsp;100;0.001;100;0.99;1;1;114600;1920;0.297845
ftv47.atsp;1000;0.1;1000;0.95;1;1;180000;1921;0.51536
ftv47.atsp;100;0.01;1000;0.85;1;1;57000;1922;0.143041
ftv47.atsp;1000;0.001;1000;0.95;1;1;270000;1923;0.710601
ftv47.atsp;100;0.1;1000;0.9;1;1;66000;1924;0.167707
ftv47.atsp;100;0.1;1000;0.99;1;1;688000;1924;1.80007
ftv47.atsp;100;0.01;1000;0.99;1;1;917000;1927;2.38667
ftv47.atsp;1000;0.01;100;0.99;1;1;114600;1936;0.296715
ftv47.atsp;1000;0.001;100;0.99;1;1;137500;1939;0.346543
ftv47.atsp;100;0.1;1000;0.95;1;1;135000;1941;0.372128
ftv47.atsp;1000;0.1;1000;0.99;1;1;917000;1941;2.43197
ftv47.atsp;100;0.001;1000;0.9;1;1;110000;1942;0.284679
ftv47.atsp;1000;0.01;1000;0.95;1;1;225000;1942;0.576284
ftv47.atsp;1000;0.1;1000;0.9;1;1;88000;1944;0.24641
ftv47.atsp;100;0.1;1000;0.95;1;1;135000;1946;0.344822
ftv47.atsp;100;0.01;100;0.99;1;1;91700;1948;0.234891
ftv47.atsp;1000;0.001;1000;0.99;1;1;1375000;1949;3.46958
ftv47.atsp;100;0.01;1000;0.99;1;1;917000;1951;2.41684
ftv47.atsp;1000;0.1;1000;0.9;1;1;88000;1951;0.251948
ftv47.atsp;1000;0.01;1000;0.9;1;1;110000;1952;0.311352
ftv47.atsp;100;0.001;1000;0.9;1;1;110000;1955;0.283101
ftv47.atsp;1000;0.01;1000;0.85;1;1;71000;1955;0.193847
ftv47.atsp;100;0.01;100;0.99;1;1;91700;1956;0.255237
ftv47.atsp;100;0.01;1000;0.95;1;1;180000;1956;0.459848
ftv47.atsp;100;0.01;1000;0.99;1;1;917000;1959;lut.28
ftv47.atsp;100;0.001;1000;0.99;1;1;1146000;1959;3.24573
ftv47.atsp;1000;0.01;1000;0.99;1;1;1146000;1960;3.21693
ftv47.atsp;100;0.01;100;0.99;1;1;91700;1961;0.236688
ftv47.atsp;100;0.001;1000;0.85;1;1;71000;1962;0.189985
ftv47.atsp;1000;0.1;1000;0.85;1;1;57000;1963;0.158234
ftv47.atsp;100;0.01;100;0.99;1;1;91700;1964;0.250197
ftv47.atsp;1000;0.001;1000;0.9;1;1;132000;1966;0.332343
ftv47.atsp;100;0.01;1000;0.9;1;1;88000;1968;0.222947
ftv47.atsp;100;0.01;1000;0.99;1;1;917000;1968;2.37082
ftv47.atsp;100;0.01;1000;0.99;1;1;917000;1968;2.38043
ftv47.atsp;100;0.001;100;0.9;1;1;11000;1969;0.0292706
ftv47.atsp;1000;0.01;100;0.99;1;1;114600;1969;0.297334
ftv47.atsp;100;0.001;1000;0.95;1;1;225000;1970;0.570165
ftv47.atsp;100;0.1;100;0.99;1;1;68800;1971;0.186644
ftv47.atsp;100;0.001;1000;0.95;1;1;225000;1971;0.571701
ftv47.atsp;100;0.01;1000;0.9;1;1;88000;1972;0.225098
ftv47.atsp;100;0.001;1000;0.95;1;1;225000;1972;0.57646
ftv47.atsp;100;0.1;1000;0.9;1;1;66000;1977;0.178005
ftv47.atsp;100;0.001;1000;0.9;1;1;110000;1978;0.283715
ftv47.atsp;100;0.001;1000;0.95;1;1;225000;1979;0.568466
ftv47.atsp;1000;0.01;1000;0.95;1;1;225000;1980;0.585226
ftv47.atsp;1000;0.001;1000;0.9;1;1;132000;1980;0.338634
ftv47.atsp;1000;0.001;1000;0.95;1;1;270000;1981;0.697676
ftv47.atsp;100;0.001;1000;0.99;1;1;1146000;1982;2.90394
ftv47.atsp;1000;0.1;1000;0.9;1;1;88000;1982;0.234161
