Instancja;Kadencja;Czas;Liczba iteracji;Intensyf;Rand;Czy RedRand?;Sasiedztwo;Optimum;;;;;;;;;;;;
brazil58.tsp;10;1;5000;4;1;1;0;26003;;;;;;;;;;;;
brazil58.tsp;10;1;5000;4;1;1;0;26003;;;;;;;;;;;;
brazil58.tsp;10;1;5000;4;1;1;0;26003;;;;;;;;;;;;
brazil58.tsp;10;1;5000;4;1;1;0;26003;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
brazil58.tsp;10;1;5000;4;1;1;0;26003;26003;25395;26003;26003;0;0.023941721;0;;2.394172081;0;2.394172081;2.394172081
brazil58.tsp;10;2;5000;4;1;1;0;26003;;;;;;;;;;;;
brazil58.tsp;10;2;5000;4;1;1;0;26003;;;;;;;;;;;;
brazil58.tsp;10;2;5000;4;1;1;0;25643;;;;;;;;;;;;
brazil58.tsp;10;2;5000;4;1;1;0;25395;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
brazil58.tsp;10;2;5000;4;1;1;0;25834;25775.6;25395;25395;26003;259.4567401;0.014987202;0.010216843;;1.498720221;1.021684348;0;2.394172081
brazil58.tsp;10;3;5000;4;1;1;0;25395;;;;;;;;;;;;
brazil58.tsp;10;3;5000;4;1;1;0;25395;;;;;;;;;;;;
brazil58.tsp;10;3;5000;4;1;1;0;25643;;;;;;;;;;;;
brazil58.tsp;10;3;5000;4;1;1;0;25395;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
brazil58.tsp;10;3;5000;4;1;1;0;25395;25444.6;25395;25395;25643;110.9089717;0.00195314;0.004367355;;0.195314038;0.436735466;0;0.976570191
brazil58.tsp;10;4;5000;4;1;1;0;25395;;;;;;;;;;;;
brazil58.tsp;10;4;5000;4;1;1;0;25745;;;;;;;;;;;;
brazil58.tsp;10;4;5000;4;1;1;0;25395;;;;;;;;;;;;
brazil58.tsp;10;4;5000;4;1;1;0;25395;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
brazil58.tsp;10;4;5000;4;1;1;0;25395;25465;25395;25395;25745;156.5247584;0.002756448;0.006163605;;0.275644812;0.616360537;0;1.37822406
brazil58.tsp;10;5;5000;4;1;1;0;25395;;;;;;;;;;;;
brazil58.tsp;10;5;5000;4;1;1;0;25643;;;;;;;;;;;;
brazil58.tsp;10;5;5000;4;1;1;0;25395;;;;;;;;;;;;
brazil58.tsp;10;5;5000;4;1;1;0;25395;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
brazil58.tsp;10;5;5000;4;1;1;0;25395;25444.6;25395;25395;25643;110.9089717;0.00195314;0.004367355;;0.195314038;0.436735466;0;0.976570191
brazil58.tsp;10;6;5000;4;1;1;0;25395;;;;;;;;;;;;
brazil58.tsp;10;6;5000;4;1;1;0;25395;;;;;;;;;;;;
brazil58.tsp;10;6;5000;4;1;1;0;25395;;;;;;;;;;;;
brazil58.tsp;10;6;5000;4;1;1;0;25395;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
brazil58.tsp;10;6;5000;4;1;1;0;25395;25395;25395;25395;25395;0;0;0;;0;0;0;0
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
ftv170.atsp;120;10;5000;9;5;0;2;3319;;;;;;;;;;;;
ftv170.atsp;120;10;5000;9;5;0;2;3319;;;;;;;;;;;;
ftv170.atsp;120;10;5000;9;5;0;2;3319;;;;;;;;;;;;
ftv170.atsp;120;10;5000;9;5;0;2;3319;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
ftv170.atsp;120;10;5000;9;5;0;2;3319;3319;2755;3319;3319;0;0.204718693;0;;20.47186933;0;20.47186933;20.47186933
ftv170.atsp;120;20;5000;9;0;0;2;3319;;;;;;;;;;;;
ftv170.atsp;120;20;5000;9;0;0;2;3319;;;;;;;;;;;;
ftv170.atsp;120;20;5000;9;0;0;2;3218;;;;;;;;;;;;
ftv170.atsp;120;20;5000;9;0;0;2;3319;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
ftv170.atsp;120;20;5000;9;0;0;2;3218;3278.6;2755;3218;3319;55.31997831;0.190054446;0.020079847;;19.00544465;2.007984694;16.80580762;20.47186933
ftv170.atsp;120;30;5000;9;0;0;2;3218;;;;;;;;;;;;
ftv170.atsp;120;30;5000;9;0;0;2;3218;;;;;;;;;;;;
ftv170.atsp;120;30;5000;9;0;0;2;3319;;;;;;;;;;;;
ftv170.atsp;120;30;5000;9;0;0;2;3218;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
ftv170.atsp;120;30;5000;9;0;0;2;3319;3258.4;2755;3218;3319;55.31997831;0.182722323;0.020079847;;18.2722323;2.007984694;16.80580762;20.47186933
ftv170.atsp;120;40;5000;9;0;0;2;3218;;;;;;;;;;;;
ftv170.atsp;120;40;5000;9;0;0;2;3218;;;;;;;;;;;;
ftv170.atsp;120;40;5000;9;0;0;2;3319;;;;;;;;;;;;
ftv170.atsp;120;40;5000;9;0;0;2;3319;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
ftv170.atsp;120;40;5000;9;0;0;2;3319;3278.6;2755;3218;3319;55.31997831;0.190054446;0.020079847;;19.00544465;2.007984694;16.80580762;20.47186933
ftv170.atsp;120;50;5000;9;0;0;2;3319;;;;;;;;;;;;
ftv170.atsp;120;50;5000;9;0;0;2;3218;;;;;;;;;;;;
ftv170.atsp;120;50;5000;9;0;0;2;3319;;;;;;;;;;;;
ftv170.atsp;120;50;5000;9;0;0;2;3278;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
ftv170.atsp;120;50;5000;9;0;0;2;3218;3270.4;2755;3218;3319;50.67839776;0.18707804;0.018395063;;18.70780399;1.839506271;16.80580762;20.47186933
ftv170.atsp;120;60;5000;9;0;0;2;3218;;;;;;;;;;;;
ftv170.atsp;120;60;5000;9;0;0;2;3218;;;;;;;;;;;;
