Kadencja;Czas;Liczba iteracji;Intensyf;Rand;Czy RedRand?;Sasiedztwo;Optimum;;;Kadencja;Czas;Liczba iteracji;Intensyf;Rand;Czy RedRand?;Sasiedztwo;Optimum
18;30;5000;4;2;1;1;1286;;;22;45;5000;4;2;0;1;1286
18;30;5000;4;2;0;1;1286;;;22;45;5000;4;2;0;1;1286
18;30;5000;4;2;0;1;1286;;;22;45;5000;4;2;0;1;1286
18;30;5000;4;3;1;1;1286;;;22;45;5000;4;2;0;1;1286
18;30;5000;4;3;0;1;1286;;;22;45;5000;4;2;0;1;1286
18;30;5000;4;4;0;1;1286;;;22;45;5000;4;2;0;1;1286
20;30;5000;4;1;0;1;1286;;;22;45;5000;4;2;0;1;1286
20;30;5000;4;2;1;1;1286;;;22;45;5000;4;2;0;1;1286
20;30;5000;4;2;0;1;1286;;;22;45;5000;4;3;0;1;1286
20;30;5000;4;3;0;1;1286;;;22;45;5000;4;3;0;1;1286
20;30;5000;4;3;0;1;1286;;;22;45;5000;4;3;0;1;1286
20;30;5000;4;3;0;1;1286;;;22;45;5000;4;3;0;1;1286
20;30;5000;4;4;0;1;1286;;;22;45;5000;4;3;0;1;1286
22;30;5000;4;1;1;1;1286;;;22;45;5000;4;3;0;1;1286
22;30;5000;4;1;1;1;1286;;;22;45;5000;4;3;0;1;1286
22;30;5000;4;1;0;1;1286;;;22;45;5000;4;3;0;1;1286
22;30;5000;4;1;0;1;1286;;;22;45;5000;4;3;0;1;1286
22;30;5000;4;2;1;1;1286;;;22;45;5000;4;3;0;1;1286
22;30;5000;4;2;1;1;1286;;;24;45;5000;4;2;0;1;1286
22;30;5000;4;2;0;1;1286;;;24;45;5000;4;2;0;1;1286
22;30;5000;4;2;0;1;1286;;;24;45;5000;4;2;0;1;1286
22;30;5000;4;2;0;1;1286;;;24;45;5000;4;2;0;1;1286
22;30;5000;4;3;1;1;1286;;;24;45;5000;4;2;0;1;1286
22;30;5000;4;3;0;1;1286;;;24;45;5000;4;2;0;1;1286
22;30;5000;4;3;0;1;1286;;;24;45;5000;4;2;0;1;1286
22;30;5000;4;3;0;1;1286;;;24;45;5000;4;2;0;1;1286
22;30;5000;4;4;1;1;1286;;;24;45;5000;4;3;0;1;1286
22;30;5000;4;4;0;1;1286;;;24;45;5000;4;3;0;1;1286
18;30;5000;4;1;0;1;1286;;;24;45;5000;4;3;0;1;1286
18;30;5000;4;2;1;1;1286;;;24;45;5000;4;3;0;1;1286
18;30;5000;4;2;0;1;1286;;;24;45;5000;4;3;0;1;1286
18;30;5000;4;2;0;1;1286;;;24;45;5000;4;3;0;1;1286
18;30;5000;4;3;0;1;1286;;;24;45;5000;4;3;0;1;1286
18;30;5000;4;3;0;1;1286;;;24;45;5000;4;3;0;1;1286
18;30;5000;4;4;1;1;1286;;;24;45;5000;4;2;0;1;1302
18;30;5000;4;4;1;1;1286;;;24;45;5000;4;3;0;1;1302
18;30;5000;4;4;0;1;1286;;;24;45;5000;4;3;0;1;1302
18;30;5000;4;4;0;1;1286;;;22;45;5000;4;2;0;1;1311
20;30;5000;4;1;1;1;1286;;;24;45;5000;4;2;0;1;1320
20;30;5000;4;2;1;1;1286;;;22;45;5000;4;2;0;1;1322
20;30;5000;4;3;0;1;1286;;;;;;;;;;
20;30;5000;4;3;0;1;1286;;;;;;;;;;
20;30;5000;4;4;1;1;1286;;;;;;;;;;
20;30;5000;4;4;0;1;1286;;;;;;;;;;
20;30;5000;4;4;0;1;1286;;;;;;;;;;
22;30;5000;4;1;0;1;1286;;;;;;;;;;
22;30;5000;4;2;1;1;1286;;;;;;;;;;
22;30;5000;4;2;1;1;1286;;;;;;;;;;
22;30;5000;4;2;0;1;1286;;;;;;;;;;
22;30;5000;4;2;0;1;1286;;;;;;;;;;
