Kadencja;Czas;Liczba iteracji;Intensyf;Rand;Czy RedRand?;Sasiedztwo;Optimum
55;240;5000;4;1;0;2;38817
60;240;5000;7;1;1;2;38902
60;240;5000;7;1;1;2;38905
55;240;5000;7;1;1;2;38906
60;240;5000;7;1;1;2;38908
60;240;5000;7;1;1;2;38910
60;240;5000;4;1;0;2;38914
55;240;5000;4;1;1;2;38917
60;240;5000;4;1;0;2;38917
60;240;5000;4;1;0;2;38924
60;240;5000;7;1;0;2;38926
55;240;5000;4;1;1;2;38928
60;240;5000;7;1;1;2;38929
55;240;5000;7;1;1;2;38930
55;240;5000;7;1;1;2;38930
60;240;5000;7;1;1;2;38930
60;240;5000;4;1;0;2;38932
55;240;5000;4;1;1;2;38943
60;240;5000;4;1;0;2;38943
55;240;5000;7;1;1;2;38946
55;240;5000;4;1;1;2;38950
55;240;5000;4;1;0;2;38955
55;240;5000;7;1;1;2;38955
55;240;5000;4;1;0;2;38958
60;240;5000;4;1;1;2;38958
60;240;5000;7;1;1;2;38958
55;240;5000;7;1;1;2;38959
60;240;5000;7;1;1;2;38960
60;240;5000;4;1;1;2;38962
60;240;5000;7;1;1;2;38962
60;240;5000;4;1;1;2;38963
55;240;5000;4;1;1;2;38965
60;240;5000;7;1;0;2;38965
60;240;5000;4;1;0;2;38970
60;240;5000;4;1;0;2;38972
60;240;5000;4;1;1;2;38973
60;240;5000;4;1;1;2;38976
55;240;5000;7;1;1;2;38979
55;240;5000;4;1;1;2;38980
60;240;5000;4;1;0;2;38980
55;240;5000;4;1;1;2;38982
55;240;5000;7;1;1;2;38984
55;240;5000;4;1;0;2;38987
60;240;5000;4;1;0;2;38990
60;240;5000;7;1;1;2;38990
55;240;5000;7;1;0;2;38991
55;240;5000;7;1;1;2;38993
60;240;5000;4;1;0;2;38996
55;240;5000;4;1;1;2;38997
60;240;5000;7;1;1;2;38997
60;240;5000;4;1;0;2;39001
60;240;5000;7;1;0;2;39002
60;240;5000;4;1;1;2;39005
60;240;5000;7;1;1;2;39005
60;240;5000;7;1;0;2;39005
55;240;5000;4;1;1;2;39010
60;240;5000;4;1;1;2;39011
55;240;5000;4;1;1;2;39015
60;240;5000;4;1;1;2;39016
60;240;5000;7;1;0;2;39023
55;240;5000;4;1;1;2;39028
55;240;5000;7;1;0;2;39032
60;240;5000;4;1;1;2;39032
55;240;5000;7;1;0;2;39034
60;240;5000;7;1;0;2;39034
55;240;5000;7;1;1;2;39035
60;240;5000;7;1;1;2;39036
60;240;5000;7;1;0;2;39038
60;240;5000;4;1;0;2;39039
60;240;5000;7;1;0;2;39041
60;240;5000;7;1;0;2;39042
60;240;5000;7;1;0;2;39045
60;240;5000;4;1;1;2;39048
55;240;5000;4;1;1;2;39049
55;240;5000;4;1;0;2;39053
60;240;5000;7;1;1;2;39054
60;240;5000;4;1;1;2;39056
60;240;5000;7;1;0;2;39057
55;240;5000;4;1;0;2;39067
60;240;5000;4;1;1;2;39069
55;240;5000;7;1;1;2;39070
60;240;5000;4;1;1;2;39070
55;240;5000;4;1;0;2;39075
55;240;5000;7;1;0;2;39075
55;240;5000;7;1;0;2;39076
55;240;5000;4;1;1;2;39087
55;240;5000;7;1;1;2;39087
55;240;5000;4;1;0;2;39088
55;240;5000;7;1;0;2;39089
60;240;5000;7;1;0;2;39100
55;240;5000;4;1;0;2;39115
55;240;5000;4;1;1;2;39118
55;240;5000;7;1;1;2;39118
55;240;5000;7;1;0;2;39122
55;240;5000;4;1;0;2;39125
60;240;5000;4;1;1;2;39136
55;240;5000;4;1;0;2;39145
60;240;5000;4;1;0;2;39155
55;240;5000;7;1;0;2;39156
55;240;5000;4;1;0;2;39162
55;240;5000;7;1;0;2;39162
60;240;5000;4;1;0;2;39168
55;240;5000;7;1;1;2;39169
55;240;5000;4;1;0;2;39188
60;240;5000;7;1;0;2;39188
55;240;5000;7;1;0;2;39195
55;240;5000;7;1;0;2;39201
60;240;5000;7;1;0;2;39203
55;240;5000;7;1;0;2;39206
55;240;5000;4;1;0;2;39209
55;240;5000;7;1;0;2;39254
55;240;5000;7;1;0;2;39264
50;2;5000;4;1;1;2;39742
50;2;5000;4;1;1;2;39742
60;1;5000;7;1;1;2;39751
60;1;5000;7;1;1;2;39751
60;1;5000;7;1;0;2;39751
60;1;5000;7;1;0;2;39751
60;1;5000;7;3;1;2;39751
60;1;5000;7;3;1;2;39751
60;1;5000;7;3;0;2;39751
60;1;5000;7;3;0;2;39751
60;1;5000;7;5;1;2;39751
60;1;5000;7;5;1;2;39751
60;1;5000;7;5;0;2;39751
60;1;5000;7;5;0;2;39751
60;1;5000;7;7;1;2;39751
60;1;5000;7;7;1;2;39751
60;1;5000;7;7;0;2;39751
60;1;5000;7;7;0;2;39751
60;1;5000;10;1;1;2;39754
60;1;5000;10;1;1;2;39754
60;1;5000;10;1;0;2;39754
60;1;5000;10;1;0;2;39754
60;1;5000;10;3;1;2;39754
60;1;5000;10;3;1;2;39754
60;1;5000;10;3;0;2;39754
60;1;5000;10;3;0;2;39754
60;1;5000;10;5;1;2;39754
60;1;5000;10;5;1;2;39754
60;1;5000;10;5;0;2;39754
60;1;5000;10;5;0;2;39754
60;1;5000;10;7;1;2;39754
60;1;5000;10;7;1;2;39754
60;1;5000;10;7;0;2;39754
60;1;5000;10;7;0;2;39754
55;1;5000;4;1;1;2;39803
55;1;5000;4;1;1;2;39803
55;1;5000;4;3;1;2;39803
55;1;5000;4;3;1;2;39803
55;1;5000;4;3;0;2;39803
55;1;5000;4;3;0;2;39803
55;1;5000;4;5;1;2;39803
55;1;5000;4;5;1;2;39803
55;1;5000;4;5;0;2;39803
