Kadencja;Czas;Liczba iteracji;Intensyf;Rand;Czy RedRand?;Sasiedztwo;Optimum
22;15;5000;4;1;1;0;1273
22;15;5000;4;1;1;0;1273
22;15;5000;4;1;1;0;1273
22;15;5000;4;1;1;0;1273
22;15;5000;4;1;1;0;1273
22;15;5000;4;1;1;0;1273
22;15;5000;4;1;1;1;1340
22;15;5000;4;1;1;1;1330
22;15;5000;4;1;1;1;1273
22;15;5000;4;1;1;1;1356
22;15;5000;4;1;1;1;1273
22;15;5000;4;1;1;1;1362
22;15;5000;4;1;1;2;1351
22;15;5000;4;1;1;2;1351
22;15;5000;4;1;1;2;1374
22;15;5000;4;1;1;2;1351
22;15;5000;4;1;1;2;1315
22;15;5000;4;1;1;2;1315
22;15;10000;4;1;1;0;1273
22;15;10000;4;1;1;0;1273
22;15;10000;4;1;1;0;1273
22;15;10000;4;1;1;0;1273
22;15;10000;4;1;1;0;1273
22;15;10000;4;1;1;0;1273
22;15;10000;4;1;1;1;1352
22;15;10000;4;1;1;1;1332
22;15;10000;4;1;1;1;1352
22;15;10000;4;1;1;1;1358
22;15;10000;4;1;1;1;1318
22;15;10000;4;1;1;1;1346
22;15;10000;4;1;1;2;1315
22;15;10000;4;1;1;2;1351
22;15;10000;4;1;1;2;1315
22;15;10000;4;1;1;2;1315
22;15;10000;4;1;1;2;1351
22;15;10000;4;1;1;2;1315
22;30;5000;4;1;1;0;1273
22;30;5000;4;1;1;0;1273
22;30;5000;4;1;1;0;1273
22;30;5000;4;1;1;0;1273
22;30;5000;4;1;1;0;1273
22;30;5000;4;1;1;0;1273
22;30;5000;4;1;1;1;1284
22;30;5000;4;1;1;1;1318
22;30;5000;4;1;1;1;1329
22;30;5000;4;1;1;1;1284
22;30;5000;4;1;1;1;1326
22;30;5000;4;1;1;1;1336
22;30;5000;4;1;1;2;1315
22;30;5000;4;1;1;2;1315
22;30;5000;4;1;1;2;1315
22;30;5000;4;1;1;2;1315
22;30;5000;4;1;1;2;1315
22;30;5000;4;1;1;2;1351
22;30;10000;4;1;1;0;1273
22;30;10000;4;1;1;0;1273
22;30;10000;4;1;1;0;1273
22;30;10000;4;1;1;0;1273
22;30;10000;4;1;1;0;1273
22;30;10000;4;1;1;0;1273
22;30;10000;4;1;1;1;1336
22;30;10000;4;1;1;1;1319
22;30;10000;4;1;1;1;1340
22;30;10000;4;1;1;1;1284
22;30;10000;4;1;1;1;1346
22;30;10000;4;1;1;1;1352
22;30;10000;4;1;1;2;1315
22;30;10000;4;1;1;2;1351
22;30;10000;4;1;1;2;1315
22;30;10000;4;1;1;2;1315
22;30;10000;4;1;1;2;1315
22;30;10000;4;1;1;2;1315
22;60;5000;4;1;1;0;1273
22;60;5000;4;1;1;0;1273
22;60;5000;4;1;1;0;1273
22;60;5000;4;1;1;0;1273
22;60;5000;4;1;1;0;1273
22;60;5000;4;1;1;0;1273
22;60;5000;4;1;1;1;1310
22;60;5000;4;1;1;1;1273
22;60;5000;4;1;1;1;1284
22;60;5000;4;1;1;1;1326
22;60;5000;4;1;1;1;1324
22;60;5000;4;1;1;1;1336
22;60;5000;4;1;1;2;1315
22;60;5000;4;1;1;2;1315
22;60;5000;4;1;1;2;1315
22;60;5000;4;1;1;2;1315
22;60;5000;4;1;1;2;1315
22;60;5000;4;1;1;2;1315
22;60;10000;4;1;1;0;1273
22;60;10000;4;1;1;0;1273
22;60;10000;4;1;1;0;1273
22;60;10000;4;1;1;0;1273
22;60;10000;4;1;1;0;1273
